year,SA3_CODE_2021,SA3_NAME_2021,state,n_sa2s,total_pop,pop_65_plus,pct_65_plus
2024,31103,Browns Plains,Queensland,9,111625,12298,11.02
2025,31103,Browns Plains,Queensland,9,111625,12298,11.02
2023,31104,Jimboomba,Queensland,6,70923,7494,10.57
2024,31104,Jimboomba,Queensland,6,75673,8121,10.73
2025,31104,Jimboomba,Queensland,6,75673,8121,10.73
2023,31105,Loganlea - Carbrook,Queensland,6,68219,10500,15.39
2024,31105,Loganlea - Carbrook,Queensland,6,69034,10748,15.57
2025,31105,Loganlea - Carbrook,Queensland,6,69034,10748,15.57
2023,31106,Springwood - Kingston,Queensland,8,82138,11771,14.33
2024,31106,Springwood - Kingston,Queensland,8,83549,11959,14.31
2025,31106,Springwood - Kingston,Queensland,8,83549,11959,14.31
2023,31201,Bowen Basin - North,Queensland,5,37719,4509,11.95
2024,31201,Bowen Basin - North,Queensland,5,38247,4779,12.5
2025,31201,Bowen Basin - North,Queensland,5,38247,4779,12.5
2023,31202,Mackay,Queensland,17,126887,19974,15.74
2024,31202,Mackay,Queensland,17,128361,20772,16.18
2025,31202,Mackay,Queensland,17,128361,20772,16.18
2023,31203,Whitsunday,Queensland,3,25015,3814,15.25
2024,31203,Whitsunday,Queensland,3,25694,3995,15.55
2025,31203,Whitsunday,Queensland,3,25694,3995,15.55
2023,31301,Bribie - Beachmere,Queensland,2,39191,16096,41.07
2024,31301,Bribie - Beachmere,Queensland,2,39789,16643,41.83
2025,31301,Bribie - Beachmere,Queensland,2,39789,16643,41.83
2023,31302,Caboolture,Queensland,7,88318,13682,15.49
2024,31302,Caboolture,Queensland,7,91946,14147,15.39
2025,31302,Caboolture,Queensland,7,91946,14147,15.39
2023,31303,Caboolture Hinterland,Queensland,2,16026,3036,18.94
2024,31303,Caboolture Hinterland,Queensland,2,16536,3183,19.25
2025,31303,Caboolture Hinterland,Queensland,2,16536,3183,19.25
2023,31304,Narangba - Burpengary,Queensland,5,74106,11682,15.76
2024,31304,Narangba - Burpengary,Queensland,5,76186,12139,15.93
2025,31304,Narangba - Burpengary,Queensland,5,76186,12139,15.93
2023,31305,Redcliffe,Queensland,6,66731,17346,25.99
2024,31305,Redcliffe,Queensland,6,68075,17901,26.3
2025,31305,Redcliffe,Queensland,6,68075,17901,26.3
2023,31401,The Hills District,Queensland,6,93912,13809,14.7
2024,31401,The Hills District,Queensland,6,95502,14423,15.1
2025,31401,The Hills District,Queensland,6,95502,14423,15.1
2023,31402,North Lakes,Queensland,5,96009,10091,10.51
2024,31402,North Lakes,Queensland,5,97949,10531,10.75
2025,31402,North Lakes,Queensland,5,97949,10531,10.75
2023,31403,Strathpine,Queensland,4,42109,6115,14.52
2024,31403,Strathpine,Queensland,4,42951,6298,14.66
2025,31403,Strathpine,Queensland,4,42951,6298,14.66
2023,31501,Far North,Queensland,9,33456,3623,10.83
2024,31501,Far North,Queensland,9,33703,3905,11.59
2025,31501,Far North,Queensland,9,33703,3905,11.59
2023,31502,Outback - North,Queensland,4,31154,2982,9.57
2024,31502,Outback - North,Queensland,4,31095,3111,10.0
2025,31502,Outback - North,Queensland,4,31095,3111,10.0
2023,31503,Outback - South,Queensland,5,17532,3475,19.82
2024,31503,Outback - South,Queensland,5,17629,3582,20.32
2025,31503,Outback - South,Queensland,5,17629,3582,20.32
2023,31601,Buderim,Queensland,4,62119,12696,20.44
2024,31601,Buderim,Queensland,4,62952,13064,20.75
2025,31601,Buderim,Queensland,4,62952,13064,20.75
2023,31602,Caloundra,Queensland,9,103068,23710,23.0
2024,31602,Caloundra,Queensland,9,106532,24535,23.03
2025,31602,Caloundra,Queensland,9,106532,24535,23.03
2023,31603,Maroochy,Queensland,4,66777,16108,24.12
2024,31603,Maroochy,Queensland,4,67971,16682,24.54
2025,31603,Maroochy,Queensland,4,67971,16682,24.54
2023,31605,Noosa,Queensland,6,48460,12720,26.25
2024,31605,Noosa,Queensland,6,49262,13118,26.63
2025,31605,Noosa,Queensland,6,49262,13118,26.63
2023,31606,Sunshine Coast Hinterland,Queensland,6,65136,13640,20.94
2024,31606,Sunshine Coast Hinterland,Queensland,6,67521,14275,21.14
2025,31606,Sunshine Coast Hinterland,Queensland,6,67521,14275,21.14
2023,31607,Nambour,Queensland,4,53169,10208,19.2
2024,31607,Nambour,Queensland,4,54392,10401,19.12
2025,31607,Nambour,Queensland,4,54392,10401,19.12
2023,31608,Noosa Hinterland,Queensland,1,25578,6246,24.42
2024,31608,Noosa Hinterland,Queensland,1,25972,6505,25.05
2025,31608,Noosa Hinterland,Queensland,1,25972,6505,25.05
2023,31701,Toowoomba,Queensland,15,170781,31947,18.71
2024,31701,Toowoomba,Queensland,15,173649,32904,18.95
2025,31701,Toowoomba,Queensland,15,173649,32904,18.95
2023,31801,Charters Towers - Ayr - Ingham,Queensland,7,42314,10138,23.96
2024,31801,Charters Towers - Ayr - Ingham,Queensland,7,42642,10374,24.33
2025,31801,Charters Towers - Ayr - Ingham,Queensland,7,42642,10374,24.33
2023,31802,Townsville,Queensland,26,201458,29479,14.63
2024,31802,Townsville,Queensland,26,204592,30551,14.93
2025,31802,Townsville,Queensland,26,204592,30551,14.93
2023,31901,Bundaberg,Queensland,11,98525,25843,26.23
2024,31901,Bundaberg,Queensland,11,100388,26703,26.6
2025,31901,Bundaberg,Queensland,11,100388,26703,26.6
2023,31902,Burnett,Queensland,8,51556,13655,26.49
2024,31902,Burnett,Queensland,8,52275,14144,27.06
2025,31902,Burnett,Queensland,8,52275,14144,27.06
2023,31903,Gympie - Cooloola,Queensland,5,56060,14374,25.64
2024,31903,Gympie - Cooloola,Queensland,5,57340,14930,26.04
2025,31903,Gympie - Cooloola,Queensland,5,57340,14930,26.04
2023,31904,Hervey Bay,Queensland,6,67798,21042,31.04
2024,31904,Hervey Bay,Queensland,6,69662,21907,31.45
2025,31904,Hervey Bay,Queensland,6,69662,21907,31.45
2023,31905,Maryborough,Queensland,5,50230,14836,29.54
2024,31905,Maryborough,Queensland,5,51123,15430,30.18
2025,31905,Maryborough,Queensland,5,51123,15430,30.18
2023,40101,Adelaide City,South Australia,2,27984,4151,14.83
2024,40101,Adelaide City,South Australia,2,29118,4358,14.97
2025,40101,Adelaide City,South Australia,2,29118,4358,14.97
2023,40102,Adelaide Hills,South Australia,8,83754,16024,19.13
2024,40102,Adelaide Hills,South Australia,8,85575,16654,19.46
2025,40102,Adelaide Hills,South Australia,8,85575,16654,19.46
2023,40103,Burnside,South Australia,3,47489,11041,23.25
2024,40103,Burnside,South Australia,3,47810,11172,23.37
2025,40103,Burnside,South Australia,3,47810,11172,23.37
2023,40104,Campbelltown (SA),South Australia,3,57583,11350,19.71
2024,40104,Campbelltown (SA),South Australia,3,58400,11539,19.76
2025,40104,Campbelltown (SA),South Australia,3,58400,11539,19.76
2023,40105,Norwood - Payneham - St Peters,South Australia,3,39352,8078,20.53
2024,40105,Norwood - Payneham - St Peters,South Australia,3,40062,8215,20.51
2025,40105,Norwood - Payneham - St Peters,South Australia,3,40062,8215,20.51
2023,40106,Prospect - Walkerville,South Australia,3,31583,5479,17.35
2024,40106,Prospect - Walkerville,South Australia,3,31871,5706,17.9
2025,40106,Prospect - Walkerville,South Australia,3,31871,5706,17.9
2023,40107,Unley,South Australia,2,39969,8787,21.98
2024,40107,Unley,South Australia,2,40327,8917,22.11
2025,40107,Unley,South Australia,2,40327,8917,22.11
2023,40201,Gawler - Two Wells,South Australia,3,40754,7494,18.39
2024,40201,Gawler - Two Wells,South Australia,3,41741,7738,18.54
2025,40201,Gawler - Two Wells,South Australia,3,41741,7738,18.54
2023,40202,Playford,South Australia,8,107772,13665,12.68
2024,40202,Playford,South Australia,8,111850,14231,12.72
2025,40202,Playford,South Australia,8,111850,14231,12.72
2023,40203,Port Adelaide - East,South Australia,4,80635,11067,13.72
2024,40203,Port Adelaide - East,South Australia,4,81940,11308,13.8
2025,40203,Port Adelaide - East,South Australia,4,81940,11308,13.8
2023,40204,Salisbury,South Australia,11,148009,22871,15.45
2024,40204,Salisbury,South Australia,11,149090,23395,15.69
2025,40204,Salisbury,South Australia,11,149090,23395,15.69
2023,40205,Tea Tree Gully,South Australia,7,99087,20421,20.61
2024,40205,Tea Tree Gully,South Australia,7,99613,20826,20.91
2025,40205,Tea Tree Gully,South Australia,7,99613,20826,20.91
2023,40301,Holdfast Bay,South Australia,2,36867,10089,27.37
2024,40301,Holdfast Bay,South Australia,2,37301,10410,27.91
2025,40301,Holdfast Bay,South Australia,2,37301,10410,27.91
2023,40302,Marion,South Australia,7,100192,18773,18.74
2024,40302,Marion,South Australia,7,101525,19166,18.88
2025,40302,Marion,South Australia,7,101525,19166,18.88
2023,40303,Mitcham,South Australia,6,68213,14173,20.78
2024,40303,Mitcham,South Australia,6,69086,14334,20.75
2025,40303,Mitcham,South Australia,6,69086,14334,20.75
2023,40304,Onkaparinga,South Australia,20,182249,36647,20.11
2024,40304,Onkaparinga,South Australia,20,184219,37608,20.41
2025,40304,Onkaparinga,South Australia,20,184219,37608,20.41
2023,40401,Charles Sturt,South Australia,8,123964,24128,19.46
2024,40401,Charles Sturt,South Australia,8,125592,24761,19.72
2025,40401,Charles Sturt,South Australia,8,125592,24761,19.72
2023,40402,Port Adelaide - West,South Australia,6,63498,11567,18.22
2024,40402,Port Adelaide - West,South Australia,6,64699,12024,18.58
2025,40402,Port Adelaide - West,South Australia,6,64699,12024,18.58
2023,40403,West Torrens,South Australia,6,68084,11857,17.42
2024,40403,West Torrens,South Australia,6,69344,12071,17.41
2025,40403,West Torrens,South Australia,6,69344,12071,17.41
2023,40501,Barossa,South Australia,6,39852,8562,21.48
2024,40501,Barossa,South Australia,6,40361,8916,22.09
2025,40501,Barossa,South Australia,6,40361,8916,22.09
2023,40502,Lower North,South Australia,4,23209,6153,26.51
2024,40502,Lower North,South Australia,4,23244,6302,27.11
2025,40502,Lower North,South Australia,4,23244,6302,27.11
2023,40503,Mid North,South Australia,4,27694,7065,25.51
2024,40503,Mid North,South Australia,4,27705,7271,26.24
2025,40503,Mid North,South Australia,4,27705,7271,26.24
2023,40504,Yorke Peninsula,South Australia,5,28001,9698,34.63
2024,40504,Yorke Peninsula,South Australia,5,28460,10029,35.24
2025,40504,Yorke Peninsula,South Australia,5,28460,10029,35.24
2023,40601,Eyre Peninsula and South West,South Australia,9,59206,12464,21.05
2024,40601,Eyre Peninsula and South West,South Australia,9,59406,12856,21.64
2025,40601,Eyre Peninsula and South West,South Australia,9,59406,12856,21.64
2023,40602,Outback - North and East,South Australia,6,26556,4098,15.43
2024,40602,Outback - North and East,South Australia,6,26540,4201,15.83
2025,40602,Outback - North and East,South Australia,6,26540,4201,15.83
2023,40701,Fleurieu - Kangaroo Island,South Australia,6,58424,20791,35.59
2024,40701,Fleurieu - Kangaroo Island,South Australia,6,59364,21464,36.16
2025,40701,Fleurieu - Kangaroo Island,South Australia,6,59364,21464,36.16
2023,40702,Limestone Coast,South Australia,10,69141,15343,22.19
2024,40702,Limestone Coast,South Australia,10,69336,15805,22.79
2025,40702,Limestone Coast,South Australia,10,69336,15805,22.79
2023,40703,Murray and Mallee,South Australia,12,73851,18533,25.1
2024,40703,Murray and Mallee,South Australia,12,74432,19118,25.69
2025,40703,Murray and Mallee,South Australia,12,74432,19118,25.69
2023,50101,Augusta - Margaret River - Busselton,Western Australia,5,62498,13841,22.15
2024,50101,Augusta - Margaret River - Busselton,Western Australia,5,64288,14577,22.67
2025,50101,Augusta - Margaret River - Busselton,Western Australia,5,64288,14577,22.67
2023,50102,Bunbury,Western Australia,14,114492,22058,19.27
2024,50102,Bunbury,Western Australia,14,116367,23037,19.8
2025,50102,Bunbury,Western Australia,14,116367,23037,19.8
2023,50103,Manjimup,Western Australia,4,25136,6415,25.52
2024,50103,Manjimup,Western Australia,4,25541,6641,26.0
2025,50103,Manjimup,Western Australia,4,25541,6641,26.0
2023,50201,Mandurah,Western Australia,9,118394,30160,25.47
2024,50201,Mandurah,Western Australia,9,122716,31253,25.47
2025,50201,Mandurah,Western Australia,9,122716,31253,25.47
2023,50301,Cottesloe - Claremont,Western Australia,7,77871,15684,20.14
2024,50301,Cottesloe - Claremont,Western Australia,7,80258,16064,20.02
2025,50301,Cottesloe - Claremont,Western Australia,7,80258,16064,20.02
2023,50302,Perth City,Western Australia,9,122576,16838,13.74
2024,50302,Perth City,Western Australia,9,126934,17257,13.6
2025,50302,Perth City,Western Australia,9,126934,17257,13.6
2023,50401,Bayswater - Bassendean,Western Australia,5,90520,15395,17.01
2024,50401,Bayswater - Bassendean,Western Australia,5,92363,15684,16.98
2025,50401,Bayswater - Bassendean,Western Australia,5,92363,15684,16.98
2023,50402,Mundaring,Western Australia,6,46824,9226,19.7
2024,50402,Mundaring,Western Australia,6,47861,9643,20.15
2025,50402,Mundaring,Western Australia,6,47861,9643,20.15
2023,50403,Swan,Western Australia,17,166232,18939,11.39
2024,50403,Swan,Western Australia,17,173599,20121,11.59
2025,50403,Swan,Western Australia,17,173599,20121,11.59
2023,50501,Joondalup,Western Australia,14,170653,31343,18.37
2024,50501,Joondalup,Western Australia,14,174383,32519,18.65
2025,50501,Joondalup,Western Australia,14,174383,32519,18.65
2023,50502,Stirling,Western Australia,15,224648,38282,17.04
2024,50502,Stirling,Western Australia,15,229809,39088,17.01
2025,50502,Stirling,Western Australia,15,229809,39088,17.01
2023,50503,Wanneroo,Western Australia,17,228814,27825,12.16
2024,50503,Wanneroo,Western Australia,17,236788,29280,12.37
2025,50503,Wanneroo,Western Australia,17,236788,29280,12.37
2023,50601,Armadale,Western Australia,9,105158,12489,11.88
2024,50601,Armadale,Western Australia,9,109218,12982,11.89
2025,50601,Armadale,Western Australia,9,109218,12982,11.89
2023,50602,Belmont - Victoria Park,Western Australia,8,82657,10785,13.05
2024,50602,Belmont - Victoria Park,Western Australia,8,85217,11087,13.01
2025,50602,Belmont - Victoria Park,Western Australia,8,85217,11087,13.01
2023,50603,Canning,Western Australia,8,107566,16058,14.93
2024,50603,Canning,Western Australia,8,110842,16274,14.68
2025,50603,Canning,Western Australia,8,110842,16274,14.68
2023,50604,Gosnells,Western Australia,6,137493,18636,13.55
2024,50604,Gosnells,Western Australia,6,141279,19206,13.59
2025,50604,Gosnells,Western Australia,6,141279,19206,13.59
2023,50605,Kalamunda,Western Australia,4,62705,11846,18.89
2024,50605,Kalamunda,Western Australia,4,63827,12192,19.1
2025,50605,Kalamunda,Western Australia,4,63827,12192,19.1
2023,50606,Serpentine - Jarrahdale,Western Australia,3,36810,3761,10.22
2024,50606,Serpentine - Jarrahdale,Western Australia,3,38687,3994,10.32
2025,50606,Serpentine - Jarrahdale,Western Australia,3,38687,3994,10.32
2023,50607,South Perth,Western Australia,3,46822,8929,19.07
2024,50607,South Perth,Western Australia,3,47958,9033,18.84
2025,50607,South Perth,Western Australia,3,47958,9033,18.84
2023,50701,Cockburn,Western Australia,14,128044,17134,13.38
2024,50701,Cockburn,Western Australia,14,132734,17992,13.55
2025,50701,Cockburn,Western Australia,14,132734,17992,13.55
2023,50702,Fremantle,Western Australia,4,43578,8443,19.37
2024,50702,Fremantle,Western Australia,4,44872,8655,19.29
2025,50702,Fremantle,Western Australia,4,44872,8655,19.29
2023,50703,Kwinana,Western Australia,6,52139,4878,9.36
2024,50703,Kwinana,Western Australia,6,54672,5185,9.48
2025,50703,Kwinana,Western Australia,6,54672,5185,9.48
2023,50704,Melville,Western Australia,10,113214,23697,20.93
2024,50704,Melville,Western Australia,10,116222,24258,20.87
2025,50704,Melville,Western Australia,10,116222,24258,20.87
2023,50705,Rockingham,Western Australia,11,148911,21066,14.15
2024,50705,Rockingham,Western Australia,11,154132,21983,14.26
2025,50705,Rockingham,Western Australia,11,154132,21983,14.26
2023,50901,Albany,Western Australia,11,65239,15140,23.21
2024,50901,Albany,Western Australia,11,65998,15746,23.86
2025,50901,Albany,Western Australia,11,65998,15746,23.86
2023,50902,Wheat Belt - North,Western Australia,10,59524,14032,23.57
2024,50902,Wheat Belt - North,Western Australia,10,60818,14662,24.11
2025,50902,Wheat Belt - North,Western Australia,10,60818,14662,24.11
2023,50903,Wheat Belt - South,Western Australia,5,20056,4593,22.9
2024,50903,Wheat Belt - South,Western Australia,5,20220,4787,23.67
2025,50903,Wheat Belt - South,Western Australia,5,20220,4787,23.67
2023,51001,Kimberley,Western Australia,5,39410,3117,7.91
2024,51001,Kimberley,Western Australia,5,39934,3248,8.13
2025,51001,Kimberley,Western Australia,5,39934,3248,8.13
2023,51002,East Pilbara,Western Australia,4,27663,1080,3.9
2024,51002,East Pilbara,Western Australia,4,27851,1176,4.22
2025,51002,East Pilbara,Western Australia,4,27851,1176,4.22
2023,51003,West Pilbara,Western Australia,3,32334,1118,3.46
2024,51003,West Pilbara,Western Australia,3,32895,1206,3.67
2025,51003,West Pilbara,Western Australia,3,32895,1206,3.67
2023,51101,Esperance,Western Australia,2,16833,3315,19.69
2024,51101,Esperance,Western Australia,2,16842,3418,20.29
2025,51101,Esperance,Western Australia,2,16842,3418,20.29
2023,51102,Gascoyne,Western Australia,2,10330,1597,15.46
2024,51102,Gascoyne,Western Australia,2,10530,1657,15.74
2025,51102,Gascoyne,Western Australia,2,10530,1657,15.74
2023,51103,Goldfields,Western Australia,7,40411,3922,9.71
2024,51103,Goldfields,Western Australia,7,40733,4120,10.11
2025,51103,Goldfields,Western Australia,7,40733,4120,10.11
2023,51104,Mid West,Western Australia,8,58207,11517,19.79
2024,51104,Mid West,Western Australia,8,58690,11940,20.34
2025,51104,Mid West,Western Australia,8,58690,11940,20.34
2023,60101,Brighton,Tasmania,3,20581,3029,14.72
2024,60101,Brighton,Tasmania,3,20864,3157,15.13
2025,60101,Brighton,Tasmania,3,20864,3157,15.13
2023,60102,Hobart - North East,Tasmania,9,61310,12773,20.83
2024,60102,Hobart - North East,Tasmania,9,61547,13082,21.26
2025,60102,Hobart - North East,Tasmania,9,61547,13082,21.26
2023,60103,Hobart - North West,Tasmania,9,58744,10515,17.9
2024,60103,Hobart - North West,Tasmania,9,58678,10661,18.17
2025,60103,Hobart - North West,Tasmania,9,58678,10661,18.17
2023,60104,Hobart - South and West,Tasmania,5,37648,7516,19.96
2024,60104,Hobart - South and West,Tasmania,5,37982,7779,20.48
2025,60104,Hobart - South and West,Tasmania,5,37982,7779,20.48
2023,60105,Hobart Inner,Tasmania,7,56202,10204,18.16
2024,60105,Hobart Inner,Tasmania,7,56085,10407,18.56
2025,60105,Hobart Inner,Tasmania,7,56085,10407,18.56
2023,60106,Sorell - Dodges Ferry,Tasmania,2,19499,4096,21.01
2024,60106,Sorell - Dodges Ferry,Tasmania,2,19774,4290,21.7
2025,60106,Sorell - Dodges Ferry,Tasmania,2,19774,4290,21.7
2023,60201,Launceston,Tasmania,17,89713,17493,19.5
2024,60201,Launceston,Tasmania,17,89399,17756,19.86
2025,60201,Launceston,Tasmania,17,89399,17756,19.86
2023,60202,Meander Valley - West Tamar,Tasmania,5,25202,6550,25.99
2024,60202,Meander Valley - West Tamar,Tasmania,5,25440,6879,27.04
2025,60202,Meander Valley - West Tamar,Tasmania,5,25440,6879,27.04
2023,60203,North East,Tasmania,8,41126,10838,26.35
2024,60203,North East,Tasmania,8,41410,11195,27.03
2025,60203,North East,Tasmania,8,41410,11195,27.03
2023,60301,Central Highlands (Tas.),Tasmania,4,12883,2694,20.91
2024,60301,Central Highlands (Tas.),Tasmania,4,12953,2829,21.84
2025,60301,Central Highlands (Tas.),Tasmania,4,12953,2829,21.84
2023,60302,Huon - Bruny Island,Tasmania,4,23055,5598,24.28
2024,60302,Huon - Bruny Island,Tasmania,4,23346,5814,24.9
2025,60302,Huon - Bruny Island,Tasmania,4,23346,5814,24.9
2023,60303,South East Coast,Tasmania,2,7908,2793,35.32
2024,60303,South East Coast,Tasmania,2,7985,2897,36.28
2025,60303,South East Coast,Tasmania,2,7985,2897,36.28
2023,60401,Burnie - Ulverstone,Tasmania,10,51399,12112,23.56
2024,60401,Burnie - Ulverstone,Tasmania,10,51412,12356,24.03
2025,60401,Burnie - Ulverstone,Tasmania,10,51412,12356,24.03
2023,60402,Devonport,Tasmania,8,50147,12236,24.4
2024,60402,Devonport,Tasmania,8,50338,12512,24.86
2025,60402,Devonport,Tasmania,8,50338,12512,24.86
2023,60403,West Coast,Tasmania,6,18321,3886,21.21
2024,60403,West Coast,Tasmania,6,18283,4061,22.21
2025,60403,West Coast,Tasmania,6,18283,4061,22.21
2023,70101,Darwin City,Northern Territory,9,28894,2958,10.24
2024,70101,Darwin City,Northern Territory,9,29076,3122,10.74
2025,70101,Darwin City,Northern Territory,9,29076,3122,10.74
2023,70102,Darwin Suburbs,Northern Territory,21,58278,6865,11.78
2024,70102,Darwin Suburbs,Northern Territory,21,58532,7102,12.13
2025,70102,Darwin Suburbs,Northern Territory,21,58532,7102,12.13
2023,70103,Litchfield,Northern Territory,5,22942,2949,12.85
2024,70103,Litchfield,Northern Territory,5,23449,3125,13.33
2025,70103,Litchfield,Northern Territory,5,23449,3125,13.33
2023,70104,Palmerston,Northern Territory,9,41008,2757,6.72
2024,70104,Palmerston,Northern Territory,9,41432,2863,6.91
2025,70104,Palmerston,Northern Territory,9,41432,2863,6.91
2023,70201,Alice Springs,Northern Territory,10,41526,3519,8.47
2024,70201,Alice Springs,Northern Territory,10,41962,3701,8.82
2025,70201,Alice Springs,Northern Territory,10,41962,3701,8.82
2023,70202,Barkly,Northern Territory,2,6045,459,7.59
2024,70202,Barkly,Northern Territory,2,6067,491,8.09
2025,70202,Barkly,Northern Territory,2,6067,491,8.09
2023,70203,Daly - Tiwi - West Arnhem,Northern Territory,5,18277,1580,8.64
2024,70203,Daly - Tiwi - West Arnhem,Northern Territory,5,18374,1695,9.22
2025,70203,Daly - Tiwi - West Arnhem,Northern Territory,5,18374,1695,9.22
2023,70204,East Arnhem,Northern Territory,3,14687,629,4.28
2024,70204,East Arnhem,Northern Territory,3,14724,682,4.63
2025,70204,East Arnhem,Northern Territory,3,14724,682,4.63
2023,70205,Katherine,Northern Territory,4,21405,1654,7.73
2024,70205,Katherine,Northern Territory,4,21453,1732,8.07
2025,70205,Katherine,Northern Territory,4,21453,1732,8.07
2023,80101,Belconnen,Australian Capital Territory,30,107782,16092,14.93
2024,80101,Belconnen,Australian Capital Territory,30,108483,16398,15.12
2025,80101,Belconnen,Australian Capital Territory,30,108483,16398,15.12
2023,80103,Canberra East,Australian Capital Territory,5,2003,300,14.98
2024,80103,Canberra East,Australian Capital Territory,5,2009,303,15.08
2025,80103,Canberra East,Australian Capital Territory,5,2009,303,15.08
2023,80104,Gungahlin,Australian Capital Territory,20,90579,6821,7.53
2024,80104,Gungahlin,Australian Capital Territory,20,92178,7286,7.9
2025,80104,Gungahlin,Australian Capital Territory,20,92178,7286,7.9
2023,80105,North Canberra,Australian Capital Territory,17,64788,7066,10.91
2024,80105,North Canberra,Australian Capital Territory,17,66338,7336,11.06
2025,80105,North Canberra,Australian Capital Territory,17,66338,7336,11.06
2023,80106,South Canberra,Australian Capital Territory,11,33022,6175,18.7
2024,80106,South Canberra,Australian Capital Territory,11,33697,6330,18.79
2025,80106,South Canberra,Australian Capital Territory,11,33697,6330,18.79
2023,80107,Tuggeranong,Australian Capital Territory,21,89199,14787,16.58
2024,80107,Tuggeranong,Australian Capital Territory,21,89340,15380,17.22
2025,80107,Tuggeranong,Australian Capital Territory,21,89340,15380,17.22
2023,80108,Weston Creek,Australian Capital Territory,9,24637,4987,20.24
2024,80108,Weston Creek,Australian Capital Territory,9,24724,5049,20.42
2025,80108,Weston Creek,Australian Capital Territory,9,24724,5049,20.42
2023,80109,Woden Valley,Australian Capital Territory,12,39481,7091,17.96
2024,80109,Woden Valley,Australian Capital Territory,12,40436,7123,17.62
2025,80109,Woden Valley,Australian Capital Territory,12,40436,7123,17.62
2023,80110,Molonglo,Australian Capital Territory,7,14246,536,3.76
2024,80110,Molonglo,Australian Capital Territory,7,16026,628,3.92
2025,80110,Molonglo,Australian Capital Territory,7,16026,628,3.92
2023,80111,Uriarra - Namadgi,Australian Capital Territory,2,622,52,8.36
2024,80111,Uriarra - Namadgi,Australian Capital Territory,2,624,63,10.1
2025,80111,Uriarra - Namadgi,Australian Capital Territory,2,624,63,10.1
2023,90101,Christmas Island,Other Territories,1,1827,245,13.41
2024,90101,Christmas Island,Other Territories,1,1865,263,14.1
2025,90101,Christmas Island,Other Territories,1,1865,263,14.1
2023,90102,Cocos (Keeling) Islands,Other Territories,1,629,119,18.92
2024,90102,Cocos (Keeling) Islands,Other Territories,1,625,128,20.48
2025,90102,Cocos (Keeling) Islands,Other Territories,1,625,128,20.48
2023,90103,Jervis Bay,Other Territories,1,304,54,17.76
2024,90103,Jervis Bay,Other Territories,1,304,53,17.43
2025,90103,Jervis Bay,Other Territories,1,304,53,17.43
2023,90104,Norfolk Island,Other Territories,1,2207,631,28.59
2024,90104,Norfolk Island,Other Territories,1,2200,660,30.0
2025,90104,Norfolk Island,Other Territories,1,2200,660,30.0
