year,SA3_CODE_2021,SA3_NAME_2021,state,n_sa2s,total_pop,pop_65_plus,pct_65_plus
2023,20803,Kingston,Victoria,11,126641,22777,17.99
2024,20803,Kingston,Victoria,11,128877,23419,18.17
2025,20803,Kingston,Victoria,11,128877,23419,18.17
2023,20804,Stonnington - East,Victoria,2,44539,7885,17.7
2024,20804,Stonnington - East,Victoria,2,45418,8002,17.62
2025,20804,Stonnington - East,Victoria,2,45418,8002,17.62
2023,20901,Banyule,Victoria,9,129607,24124,18.61
2024,20901,Banyule,Victoria,9,131931,24705,18.73
2025,20901,Banyule,Victoria,9,131931,24705,18.73
2023,20902,Darebin - North,Victoria,7,100305,14761,14.72
2024,20902,Darebin - North,Victoria,7,103420,14902,14.41
2025,20902,Darebin - North,Victoria,7,103420,14902,14.41
2023,20903,Nillumbik - Kinglake,Victoria,7,67611,11828,17.49
2024,20903,Nillumbik - Kinglake,Victoria,7,68092,12277,18.03
2025,20903,Nillumbik - Kinglake,Victoria,7,68092,12277,18.03
2023,20904,Whittlesea - Wallan,Victoria,19,271309,33539,12.36
2024,20904,Whittlesea - Wallan,Victoria,19,281619,35118,12.47
2025,20904,Whittlesea - Wallan,Victoria,19,281619,35118,12.47
2023,21001,Keilor,Victoria,7,63041,13274,21.06
2024,21001,Keilor,Victoria,7,64063,13444,20.99
2025,21001,Keilor,Victoria,7,64063,13444,20.99
2023,21002,Macedon Ranges,Victoria,4,34317,5957,17.36
2024,21002,Macedon Ranges,Victoria,4,35115,6261,17.83
2025,21002,Macedon Ranges,Victoria,4,35115,6261,17.83
2023,21003,Moreland - North,Victoria,8,84252,11334,13.45
2024,21003,Moreland - North,Victoria,8,85970,11395,13.25
2025,21003,Moreland - North,Victoria,8,85970,11395,13.25
2023,21004,Sunbury,Victoria,4,48087,6958,14.47
2024,21004,Sunbury,Victoria,4,50000,7266,14.53
2025,21004,Sunbury,Victoria,4,50000,7266,14.53
2023,21005,Tullamarine - Broadmeadows,Victoria,15,221090,21943,9.92
2024,21005,Tullamarine - Broadmeadows,Victoria,15,228673,23007,10.06
2025,21005,Tullamarine - Broadmeadows,Victoria,15,228673,23007,10.06
2023,21101,Knox,Victoria,12,161808,29387,18.16
2024,21101,Knox,Victoria,12,163339,30065,18.41
2025,21101,Knox,Victoria,12,163339,30065,18.41
2023,21102,Manningham - East,Victoria,2,26655,5510,20.67
2024,21102,Manningham - East,Victoria,2,27016,5661,20.95
2025,21102,Manningham - East,Victoria,2,27016,5661,20.95
2023,21103,Maroondah,Victoria,8,116967,20528,17.55
2024,21103,Maroondah,Victoria,8,118885,21060,17.71
2025,21103,Maroondah,Victoria,8,118885,21060,17.71
2023,21104,Whitehorse - East,Victoria,5,64612,12619,19.53
2024,21104,Whitehorse - East,Victoria,5,65543,12798,19.53
2025,21104,Whitehorse - East,Victoria,5,65543,12798,19.53
2023,21105,Yarra Ranges,Victoria,13,157846,28549,18.09
2024,21105,Yarra Ranges,Victoria,13,159320,29387,18.45
2025,21105,Yarra Ranges,Victoria,13,159320,29387,18.45
2023,21201,Cardinia,Victoria,8,127090,16034,12.62
2024,21201,Cardinia,Victoria,8,130536,16656,12.76
2025,21201,Cardinia,Victoria,8,130536,16656,12.76
2023,21202,Casey - North,Victoria,10,141806,20583,14.51
2024,21202,Casey - North,Victoria,10,144349,21370,14.8
2025,21202,Casey - North,Victoria,10,144349,21370,14.8
2023,21203,Casey - South,Victoria,15,250254,21918,8.76
2024,21203,Casey - South,Victoria,15,261066,23456,8.98
2025,21203,Casey - South,Victoria,15,261066,23456,8.98
2023,21204,Dandenong,Victoria,13,200919,32885,16.37
2024,21204,Dandenong,Victoria,13,204942,33736,16.46
2025,21204,Dandenong,Victoria,13,204942,33736,16.46
2023,21205,Monash,Victoria,10,195752,33410,17.07
2024,21205,Monash,Victoria,10,201180,33569,16.69
2025,21205,Monash,Victoria,10,201180,33569,16.69
2023,21301,Brimbank,Victoria,14,187500,30686,16.37
2024,21301,Brimbank,Victoria,14,189454,31568,16.66
2025,21301,Brimbank,Victoria,14,189454,31568,16.66
2023,21302,Hobsons Bay,Victoria,6,88934,14704,16.53
2024,21302,Hobsons Bay,Victoria,6,90765,15125,16.66
2025,21302,Hobsons Bay,Victoria,6,90765,15125,16.66
2023,21303,Maribyrnong,Victoria,6,91776,9627,10.49
2024,21303,Maribyrnong,Victoria,6,94251,10003,10.61
2025,21303,Maribyrnong,Victoria,6,94251,10003,10.61
2023,21304,Melton - Bacchus Marsh,Victoria,15,225632,21678,9.61
2024,21304,Melton - Bacchus Marsh,Victoria,15,239306,22960,9.59
2025,21304,Melton - Bacchus Marsh,Victoria,15,239306,22960,9.59
2023,21305,Wyndham,Victoria,20,328867,24918,7.58
2024,21305,Wyndham,Victoria,20,341877,26311,7.7
2025,21305,Wyndham,Victoria,20,341877,26311,7.7
2023,21401,Frankston,Victoria,7,142808,23754,16.63
2024,21401,Frankston,Victoria,7,144615,24235,16.76
2025,21401,Frankston,Victoria,7,144615,24235,16.76
2023,21402,Mornington Peninsula,Victoria,10,170245,47347,27.81
2024,21402,Mornington Peninsula,Victoria,10,171450,48518,28.3
2025,21402,Mornington Peninsula,Victoria,10,171450,48518,28.3
2023,21501,Grampians,Victoria,9,59569,15025,25.22
2024,21501,Grampians,Victoria,9,59413,15308,25.77
2025,21501,Grampians,Victoria,9,59413,15308,25.77
2023,21502,Mildura,Victoria,6,57553,11377,19.77
2024,21502,Mildura,Victoria,6,57626,11666,20.24
2025,21502,Mildura,Victoria,6,57626,11666,20.24
2023,21503,Murray River - Swan Hill,Victoria,6,37668,9202,24.43
2024,21503,Murray River - Swan Hill,Victoria,6,37454,9315,24.87
2025,21503,Murray River - Swan Hill,Victoria,6,37454,9315,24.87
2023,21601,Campaspe,Victoria,5,38457,9705,25.24
2024,21601,Campaspe,Victoria,5,38317,9931,25.92
2025,21601,Campaspe,Victoria,5,38317,9931,25.92
2023,21602,Moira,Victoria,4,30771,8608,27.97
2024,21602,Moira,Victoria,4,30836,8818,28.6
2025,21602,Moira,Victoria,4,30836,8818,28.6
2023,21603,Shepparton,Victoria,6,68948,13388,19.42
2024,21603,Shepparton,Victoria,6,69684,13820,19.83
2025,21603,Shepparton,Victoria,6,69684,13820,19.83
2023,21701,Glenelg - Southern Grampians,Victoria,4,36539,9695,26.53
2024,21701,Glenelg - Southern Grampians,Victoria,4,36591,9986,27.29
2025,21701,Glenelg - Southern Grampians,Victoria,4,36591,9986,27.29
2023,21703,Colac - Corangamite,Victoria,6,38180,9522,24.94
