sa3_code,sa3_name,n_facilities,n_residential,n_homecare,residential_places,homecare_places,n_nfp,n_government,n_private,year
12401.0,Blue Mountains,12,7,5,693.0,0.0,9,0,3,2025
12403.0,Penrith,25,11,13,1087.0,0.0,11,1,13,2025
12404.0,Richmond - Windsor,7,4,3,403.0,0.0,4,0,3,2025
12405.0,St Marys,2,2,0,260.0,0.0,0,0,2,2025
12501.0,Auburn,13,5,8,431.0,0.0,6,0,7,2025
12502.0,Carlingford,3,2,1,215.0,0.0,1,0,2,2025
12503.0,Merrylands - Guildford,21,12,9,1260.0,0.0,11,0,10,2025
12504.0,Parramatta,39,18,17,1756.0,0.0,20,1,18,2025
12601.0,Pennant Hills - Epping,8,4,4,299.0,0.0,2,0,6,2025
12602.0,Ryde - Hunters Hill,75,17,54,1567.0,0.0,71,1,3,2025
12701.0,Bringelly - Green Valley,4,4,0,534.0,0.0,3,0,1,2025
12702.0,Fairfield,28,13,15,1416.0,0.0,13,0,15,2025
12703.0,Liverpool,22,6,13,636.0,0.0,13,1,8,2025
12801.0,Cronulla - Miranda - Caringbah,18,12,5,1249.0,0.0,12,0,6,2025
12802.0,Sutherland - Menai - Heathcote,13,12,1,1425.0,0.0,6,1,6,2025
20101.0,Ballarat,36,17,17,1260.0,0.0,14,15,7,2025
20102.0,Creswick - Daylesford - Ballan,10,8,2,317.0,0.0,3,6,1,2025
20103.0,Maryborough - Pyrenees,10,8,2,290.0,0.0,2,7,1,2025
20201.0,Bendigo,21,15,4,1277.0,0.0,11,7,3,2025
20202.0,Heathcote - Castlemaine - Kyneton,12,8,4,612.0,0.0,1,6,5,2025
20203.0,Loddon - Elmore,3,3,0,63.0,0.0,0,3,0,2025
20301.0,Barwon - West,3,2,1,176.0,0.0,0,2,1,2025
20302.0,Geelong,54,27,25,2582.0,0.0,35,4,15,2025
20303.0,Surf Coast - Bellarine Peninsula,15,11,4,1203.0,0.0,4,2,9,2025
20401.0,Upper Goulburn Valley,18,14,4,642.0,0.0,9,7,2,2025
20402.0,Wangaratta - Benalla,15,8,6,627.0,0.0,8,5,2,2025
20403.0,Wodonga - Alpine,18,13,5,778.0,8.0,3,11,4,2025
20501.0,Baw Baw,9,7,2,626.0,0.0,6,2,1,2025
20502.0,Gippsland - East,19,11,8,580.0,0.0,6,9,4,2025
20503.0,Gippsland - South West,20,14,6,814.0,0.0,8,8,4,2025
20504.0,Latrobe Valley,29,12,16,1065.0,0.0,17,9,3,2025
20505.0,Wellington,15,9,5,482.0,0.0,5,7,3,2025
20601.0,Brunswick - Coburg,21,7,12,481.0,69.0,13,2,6,2025
20602.0,Darebin - South,13,6,7,430.0,0.0,9,0,4,2025
20603.0,Essendon,22,9,13,661.0,0.0,15,1,6,2025
20604.0,Melbourne City,41,6,29,724.0,0.0,29,2,10,2025
20605.0,Port Phillip,18,7,11,623.0,0.0,16,0,2,2025
20606.0,Stonnington - West,6,4,2,206.0,0.0,2,0,4,2025
20607.0,Yarra,11,3,7,270.0,0.0,6,0,5,2025
20701.0,Boroondara,50,27,19,2308.0,0.0,23,2,25,2025
20702.0,Manningham - West,23,16,7,1409.0,0.0,16,0,7,2025
20703.0,Whitehorse - West,28,10,16,1180.0,0.0,10,0,18,2025
20801.0,Bayside,22,16,6,1401.0,0.0,10,1,11,2025
20802.0,Glen Eira,36,19,16,1661.0,0.0,19,4,13,2025
20803.0,Kingston,25,16,8,1260.0,0.0,5,5,15,2025
20804.0,Stonnington - East,18,7,11,704.0,0.0,10,0,8,2025
20901.0,Banyule,21,13,7,1301.0,0.0,10,1,10,2025
20902.0,Darebin - North,24,12,11,1059.0,0.0,10,5,9,2025
20903.0,Nillumbik - Kinglake,8,6,2,575.0,0.0,4,0,4,2025
20904.0,Whittlesea - Wallan,39,15,23,1723.0,0.0,17,0,22,2025
21001.0,Keilor,9,8,1,696.0,0.0,4,1,4,2025
21002.0,Macedon Ranges,4,4,0,373.0,0.0,2,0,2,2025
21003.0,Moreland - North,13,11,2,1128.0,0.0,4,0,9,2025
21004.0,Sunbury,4,2,2,192.0,0.0,3,0,1,2025
21005.0,Tullamarine - Broadmeadows,21,10,11,707.0,0.0,8,2,11,2025
21101.0,Knox,38,20,16,1696.0,0.0,23,1,14,2025
21102.0,Manningham - East,5,4,1,377.0,0.0,2,0,3,2025
21103.0,Maroondah,35,15,18,1444.0,0.0,18,1,16,2025
21104.0,Whitehorse - East,8,5,1,788.0,0.0,5,0,3,2025
21105.0,Yarra Ranges,19,14,5,1203.0,0.0,9,2,8,2025
21201.0,Cardinia,15,9,6,766.0,0.0,9,3,3,2025
21202.0,Casey - North,13,10,3,1159.0,0.0,5,1,7,2025
21203.0,Casey - South,14,7,7,744.0,0.0,6,0,8,2025
21204.0,Dandenong,36,19,17,1821.0,0.0,22,5,9,2025
21205.0,Monash,70,23,47,2357.0,0.0,25,0,45,2025
21301.0,Brimbank,32,16,16,1250.0,0.0,21,0,11,2025
21302.0,Hobsons Bay,10,9,1,859.0,0.0,5,0,5,2025
21303.0,Maribyrnong,29,7,21,604.0,0.0,21,1,7,2025
21304.0,Melton - Bacchus Marsh,10,7,3,637.0,0.0,3,1,6,2025
21305.0,Wyndham,22,11,10,1286.0,0.0,9,1,12,2025
21401.0,Frankston,29,14,14,1368.0,0.0,18,1,10,2025
21402.0,Mornington Peninsula,37,25,11,2568.0,0.0,13,2,22,2025
21501.0,Grampians,36,27,9,888.0,0.0,9,24,3,2025
21502.0,Mildura,25,8,15,658.0,0.0,18,2,5,2025
21503.0,Murray River - Swan Hill,18,17,1,583.0,8.0,5,12,1,2025
21601.0,Campaspe,14,8,6,564.0,0.0,8,5,1,2025
21602.0,Moira,13,9,4,435.0,0.0,4,8,1,2025
21603.0,Shepparton,50,11,35,752.0,0.0,37,12,1,2025
21701.0,Glenelg - Southern Grampians,15,10,4,517.0,0.0,4,11,0,2025
21703.0,Colac - Corangamite,17,10,5,459.0,3.0,7,8,2,2025
21704.0,Warrnambool,21,8,11,551.0,0.0,11,7,3,2025
30101.0,Capalaba,15,7,8,702.0,0.0,5,0,10,2025
30102.0,Cleveland - Stradbroke,15,10,5,1024.0,0.0,10,1,4,2025
30103.0,Wynnum - Manly,8,5,3,509.0,0.0,6,0,2,2025
30201.0,Bald Hills - Everton Park,4,4,0,505.0,0.0,2,0,2,2025
30202.0,Chermside,15,7,8,736.0,0.0,12,0,3,2025
30203.0,Nundah,8,3,5,319.0,0.0,7,0,1,2025
30204.0,Sandgate,13,7,5,801.0,0.0,6,2,5,2025
30301.0,Carindale,7,4,3,473.0,0.0,2,0,5,2025
30302.0,Holland Park - Yeronga,9,8,1,714.0,0.0,3,0,6,2025
30303.0,Mt Gravatt,28,6,21,674.0,0.0,19,1,8,2025
30304.0,Nathan,5,1,4,136.0,0.0,3,0,2,2025
30305.0,Rocklea - Acacia Ridge,11,7,4,684.0,0.0,6,0,5,2025
30306.0,Sunnybank,8,5,3,495.0,0.0,5,0,3,2025
30401.0,Centenary,8,7,1,474.0,0.0,6,0,2,2025
30402.0,Kenmore - Brookfield - Moggill,5,4,1,462.0,0.0,5,0,0,2025
30403.0,Sherwood - Indooroopilly,5,3,2,331.0,0.0,4,0,1,2025
30404.0,The Gap - Enoggera,7,5,2,595.0,0.0,5,0,2,2025
30501.0,Brisbane Inner,26,5,21,467.0,0.0,22,0,4,2025
30502.0,Brisbane Inner - East,3,1,1,131.0,0.0,1,0,2,2025
30503.0,Brisbane Inner - North,22,8,12,879.0,75.0,15,0,7,2025
30504.0,Brisbane Inner - West,12,4,8,325.0,0.0,6,0,6,2025
30601.0,Cairns - North,6,3,3,436.0,0.0,2,0,4,2025
30602.0,Cairns - South,29,9,18,1032.0,0.0,15,2,12,2025
30603.0,Innisfail - Cassowary Coast,7,5,2,338.0,5.0,6,1,0,2025
30604.0,Port Douglas - Daintree,3,3,0,145.0,12.0,2,1,0,2025
30605.0,Tablelands (East) - Kuranda,6,3,3,294.0,0.0,6,0,0,2025
30701.0,Darling Downs (West) - Maranoa,21,15,5,431.0,35.0,10,10,1,2025
30702.0,Darling Downs - East,14,11,2,576.0,3.0,8,6,0,2025
30703.0,Granite Belt,18,10,8,538.0,0.0,16,2,0,2025
30801.0,Central Highlands (Qld),8,4,4,105.0,10.0,5,3,0,2025
30803.0,Rockhampton,26,13,11,1144.0,3.0,18,4,4,2025
30804.0,Biloela,10,5,5,118.0,14.0,5,5,0,2025
30805.0,Gladstone,7,3,4,220.0,0.0,5,0,2,2025
30901.0,Broadbeach - Burleigh,6,4,2,469.0,0.0,2,0,4,2025
30902.0,Coolangatta,24,5,12,503.0,0.0,21,0,3,2025
30903.0,Gold Coast - North,13,12,1,1103.0,0.0,6,0,7,2025
30904.0,Gold Coast Hinterland,1,1,0,41.0,0.0,0,0,1,2025
30905.0,Mudgeeraba - Tallebudgera,7,4,3,383.0,0.0,6,0,1,2025
30906.0,Nerang,8,3,5,247.0,0.0,6,0,2,2025
30907.0,Ormeau - Oxenford,14,8,5,800.0,0.0,1,0,13,2025
30908.0,Robina,9,6,3,710.0,0.0,4,0,5,2025
30909.0,Southport,17,11,6,1067.0,0.0,7,0,10,2025
30910.0,Surfers Paradise,9,1,7,74.0,0.0,2,1,6,2025
31001.0,Forest Lake - Oxley,24,4,20,566.0,0.0,3,0,21,2025
31002.0,Ipswich Hinterland,10,6,4,394.0,0.0,10,0,0,2025
31003.0,Ipswich Inner,24,9,14,973.0,0.0,20,1,3,2025
31004.0,Springfield - Redbank,3,0,3,0.0,0.0,0,0,3,2025
31101.0,Beaudesert,6,2,4,227.0,0.0,6,0,0,2025
31102.0,Beenleigh,5,3,2,248.0,0.0,4,0,1,2025
31103.0,Browns Plains,5,5,0,554.0,0.0,2,0,3,2025
31104.0,Jimboomba,1,1,0,144.0,0.0,1,0,0,2025
31105.0,Loganlea - Carbrook,10,7,3,771.0,0.0,6,0,4,2025
31106.0,Springwood - Kingston,20,5,15,573.0,0.0,12,0,8,2025
31201.0,Bowen Basin - North,9,4,5,205.0,18.0,6,3,0,2025
31202.0,Mackay,23,9,12,886.0,0.0,14,2,7,2025
31203.0,Whitsunday,2,1,1,103.0,0.0,1,1,0,2025
31301.0,Bribie - Beachmere,6,3,3,314.0,0.0,5,0,1,2025
31302.0,Caboolture,18,10,8,1288.0,0.0,6,0,12,2025
