sa3_code,sa3_name,year,permanent,respite,total_residential,hcp_level1,hcp_level2,hcp_level3,hcp_level4,total_homecare,total_users,hcp_high_needs,pct_hcp_high
10102.0,Queanbeyan,2024,254.0,8.0,262.0,14,252,157,74,497,759.0,231,0.4647887323943662
10102.0,Queanbeyan,2025,267.0,4.0,271.0,13,228,170,87,498,769.0,257,0.5160642570281124
10103.0,Snowy Mountains,2024,77.0,0.0,77.0,6,71,43,36,156,233.0,79,0.5064102564102564
10103.0,Snowy Mountains,2025,73.0,1.0,74.0,2,74,73,38,187,261.0,111,0.5935828877005348
10104.0,South Coast,2024,871.0,38.0,909.0,74,1016,527,209,1826,2735.0,736,0.40306681270536693
10104.0,South Coast,2025,877.0,37.0,914.0,67,1008,660,222,1957,2871.0,882,0.4506898313745529
10105.0,Goulburn - Mulwaree,2024,380.0,13.0,393.0,20,332,230,79,661,1054.0,309,0.46747352496217853
10105.0,Goulburn - Mulwaree,2025,380.0,10.0,390.0,20,312,287,88,707,1097.0,375,0.5304101838755304
10106.0,Young - Yass,2024,327.0,14.0,341.0,26,206,123,56,411,752.0,179,0.43552311435523117
10106.0,Young - Yass,2025,320.0,18.0,338.0,26,190,135,63,414,752.0,198,0.4782608695652174
10201.0,Gosford,2024,1636.0,79.0,1715.0,169,1237,847,341,2594,4309.0,1188,0.4579799537393986
10201.0,Gosford,2025,1697.0,73.0,1770.0,152,1166,1022,405,2745,4515.0,1427,0.5198542805100183
10202.0,Wyong,2024,1668.0,94.0,1762.0,220,1325,923,393,2861,4623.0,1316,0.4599790283117791
10202.0,Wyong,2025,1699.0,79.0,1778.0,191,1239,1040,476,2946,4724.0,1516,0.5145960624575696
10301.0,Bathurst,2024,504.0,18.0,522.0,15,176,139,81,411,933.0,220,0.5352798053527981
10301.0,Bathurst,2025,532.0,16.0,548.0,11,182,173,92,458,1006.0,265,0.5786026200873362
10302.0,Lachlan Valley,2024,529.0,35.0,564.0,36,260,214,91,601,1165.0,305,0.5074875207986689
10302.0,Lachlan Valley,2025,514.0,22.0,536.0,35,277,275,104,691,1227.0,379,0.548480463096961
10303.0,Lithgow - Mudgee,2024,339.0,16.0,355.0,36,211,166,83,496,851.0,249,0.5020161290322581
10303.0,Lithgow - Mudgee,2025,351.0,10.0,361.0,34,209,158,103,504,865.0,261,0.5178571428571429
10304.0,Orange,2024,592.0,13.0,605.0,23,268,185,85,561,1166.0,270,0.48128342245989303
10304.0,Orange,2025,589.0,18.0,607.0,17,258,223,113,611,1218.0,336,0.5499181669394435
10401.0,Clarence Valley,2024,590.0,17.0,607.0,127,620,365,123,1235,1842.0,488,0.3951417004048583
10401.0,Clarence Valley,2025,601.0,23.0,624.0,108,629,408,127,1272,1896.0,535,0.42059748427672955
10402.0,Coffs Harbour,2024,838.0,31.0,869.0,135,660,506,165,1466,2335.0,671,0.45770804911323326
10402.0,Coffs Harbour,2025,853.0,28.0,881.0,114,613,583,205,1515,2396.0,788,0.5201320132013202
10501.0,Bourke - Cobar - Coonamble,2024,71.0,2.0,73.0,31,156,60,21,268,341.0,81,0.30223880597014924
10501.0,Bourke - Cobar - Coonamble,2025,75.0,4.0,79.0,21,164,101,31,317,396.0,132,0.416403785488959
10502.0,Broken Hill and Far West,2024,166.0,1.0,167.0,30,101,34,22,187,354.0,56,0.2994652406417112
