sa3_code,sa3_name,state,year,total_pop,pop_65_plus
10601,Lower Hunter,NSW,2020,96552.0,15441.0
10601,Lower Hunter,NSW,2021,98553.0,16093.0
10601,Lower Hunter,NSW,2022,100853.0,16684.0
10601,Lower Hunter,NSW,2023,102821.0,17280.0
10601,Lower Hunter,NSW,2024,105038.0,18048.0
10602,Maitland,NSW,2019,82095.0,11772.0
10602,Maitland,NSW,2020,84698.0,12409.0
10602,Maitland,NSW,2021,87389.0,13104.0
10602,Maitland,NSW,2022,90375.0,13767.0
10602,Maitland,NSW,2023,92716.0,14266.0
10602,Maitland,NSW,2024,94799.0,14808.0
10603,Port Stephens,NSW,2019,74922.0,18398.0
10603,Port Stephens,NSW,2020,75684.0,19338.0
10603,Port Stephens,NSW,2021,76403.0,20316.0
10603,Port Stephens,NSW,2022,77505.0,21123.0
10603,Port Stephens,NSW,2023,78426.0,21720.0
10603,Port Stephens,NSW,2024,79356.0,22569.0
10604,Upper Hunter,NSW,2019,30843.0,4892.0
10604,Upper Hunter,NSW,2020,30833.0,5106.0
10604,Upper Hunter,NSW,2021,30725.0,5292.0
10604,Upper Hunter,NSW,2022,30829.0,5510.0
10604,Upper Hunter,NSW,2023,31109.0,5642.0
10604,Upper Hunter,NSW,2024,31223.0,5830.0
10701,Dapto - Port Kembla,NSW,2019,79102.0,14526.0
10701,Dapto - Port Kembla,NSW,2020,79395.0,14855.0
10701,Dapto - Port Kembla,NSW,2021,79871.0,15095.0
10701,Dapto - Port Kembla,NSW,2022,80670.0,15371.0
10701,Dapto - Port Kembla,NSW,2023,81571.0,15539.0
10701,Dapto - Port Kembla,NSW,2024,82396.0,15798.0
10702,Illawarra Catchment Reserve,NSW,2019,5.0,2.0
10702,Illawarra Catchment Reserve,NSW,2020,5.0,0.0
10702,Illawarra Catchment Reserve,NSW,2021,5.0,0.0
10702,Illawarra Catchment Reserve,NSW,2022,5.0,0.0
10702,Illawarra Catchment Reserve,NSW,2023,5.0,0.0
10702,Illawarra Catchment Reserve,NSW,2024,5.0,0.0
10703,Kiama - Shellharbour,NSW,2019,95995.0,18188.0
10703,Kiama - Shellharbour,NSW,2020,97727.0,19002.0
10703,Kiama - Shellharbour,NSW,2021,99374.0,19790.0
10703,Kiama - Shellharbour,NSW,2022,101193.0,20506.0
10703,Kiama - Shellharbour,NSW,2023,102619.0,21125.0
10703,Kiama - Shellharbour,NSW,2024,104623.0,21893.0
10704,Wollongong,NSW,2019,135463.0,22678.0
10704,Wollongong,NSW,2020,135681.0,23268.0
10704,Wollongong,NSW,2021,134841.0,23828.0
10704,Wollongong,NSW,2022,135802.0,24266.0
10704,Wollongong,NSW,2023,137576.0,24650.0
10704,Wollongong,NSW,2024,139323.0,25158.0
10801,Great Lakes,NSW,2019,32815.0,10954.0
10801,Great Lakes,NSW,2020,32998.0,11306.0
10801,Great Lakes,NSW,2021,33203.0,11645.0
10801,Great Lakes,NSW,2022,33354.0,11891.0
10801,Great Lakes,NSW,2023,33565.0,12072.0
10801,Great Lakes,NSW,2024,33811.0,12395.0
10802,Kempsey - Nambucca,NSW,2019,50557.0,12929.0
10802,Kempsey - Nambucca,NSW,2020,50954.0,13414.0
10802,Kempsey - Nambucca,NSW,2021,51276.0,13863.0
10802,Kempsey - Nambucca,NSW,2022,51846.0,14268.0
10802,Kempsey - Nambucca,NSW,2023,52283.0,14662.0
10802,Kempsey - Nambucca,NSW,2024,52761.0,15069.0
10803,Lord Howe Island,NSW,2019,431.0,75.0
10803,Lord Howe Island,NSW,2020,438.0,86.0
10803,Lord Howe Island,NSW,2021,444.0,88.0
10803,Lord Howe Island,NSW,2022,450.0,90.0
10803,Lord Howe Island,NSW,2023,452.0,97.0
10803,Lord Howe Island,NSW,2024,448.0,97.0
10804,Port Macquarie,NSW,2019,84184.0,23017.0
10804,Port Macquarie,NSW,2020,85516.0,23901.0
10804,Port Macquarie,NSW,2021,86654.0,24774.0
10804,Port Macquarie,NSW,2022,88280.0,25469.0
10804,Port Macquarie,NSW,2023,89567.0,26053.0
10804,Port Macquarie,NSW,2024,90903.0,26813.0
10805,Taree - Gloucester,NSW,2019,56412.0,15460.0
10805,Taree - Gloucester,NSW,2020,57010.0,16079.0
10805,Taree - Gloucester,NSW,2021,57409.0,16681.0
10805,Taree - Gloucester,NSW,2022,57947.0,17176.0
10805,Taree - Gloucester,NSW,2023,58418.0,17733.0
10805,Taree - Gloucester,NSW,2024,58837.0,18169.0
10901,Albury,NSW,2019,65271.0,11989.0
10901,Albury,NSW,2020,66203.0,12475.0
10901,Albury,NSW,2021,66976.0,13013.0
10901,Albury,NSW,2022,67740.0,13393.0
10901,Albury,NSW,2023,68737.0,13782.0
10901,Albury,NSW,2024,69679.0,14292.0
10902,Lower Murray,NSW,2019,13003.0,2593.0
10902,Lower Murray,NSW,2020,13065.0,2664.0
10902,Lower Murray,NSW,2021,13093.0,2704.0
10902,Lower Murray,NSW,2022,13120.0,2850.0
10902,Lower Murray,NSW,2023,13193.0,2897.0
10902,Lower Murray,NSW,2024,13332.0,3013.0
10903,Upper Murray exc. Albury,NSW,2019,43025.0,11568.0
10903,Upper Murray exc. Albury,NSW,2020,43179.0,12008.0
10903,Upper Murray exc. Albury,NSW,2021,43313.0,12407.0
10903,Upper Murray exc. Albury,NSW,2022,43693.0,12850.0
10903,Upper Murray exc. Albury,NSW,2023,44074.0,13128.0
10903,Upper Murray exc. Albury,NSW,2024,44453.0,13489.0
11001,Armidale,NSW,2019,38305.0,7112.0
11001,Armidale,NSW,2020,38122.0,7320.0
11001,Armidale,NSW,2021,37766.0,7479.0
11001,Armidale,NSW,2022,37778.0,7600.0
11001,Armidale,NSW,2023,38018.0,7664.0
11001,Armidale,NSW,2024,38154.0,7798.0
11002,Inverell - Tenterfield,NSW,2019,39069.0,9580.0
11002,Inverell - Tenterfield,NSW,2020,38956.0,9894.0
11002,Inverell - Tenterfield,NSW,2021,38779.0,10087.0
11002,Inverell - Tenterfield,NSW,2022,38957.0,10355.0
11002,Inverell - Tenterfield,NSW,2023,39221.0,10620.0
11002,Inverell - Tenterfield,NSW,2024,39310.0,10886.0
11003,Moree - Narrabri,NSW,2019,25677.0,4165.0
11003,Moree - Narrabri,NSW,2020,25337.0,4218.0
11003,Moree - Narrabri,NSW,2021,25037.0,4258.0
11003,Moree - Narrabri,NSW,2022,24858.0,4425.0
11003,Moree - Narrabri,NSW,2023,24901.0,4509.0
11003,Moree - Narrabri,NSW,2024,24828.0,4615.0
11004,Tamworth - Gunnedah,NSW,2019,84883.0,16002.0
11004,Tamworth - Gunnedah,NSW,2020,85133.0,16383.0
11004,Tamworth - Gunnedah,NSW,2021,85390.0,16722.0
11004,Tamworth - Gunnedah,NSW,2022,86321.0,17157.0
11004,Tamworth - Gunnedah,NSW,2023,87164.0,17461.0
11004,Tamworth - Gunnedah,NSW,2024,87997.0,17858.0
11101,Lake Macquarie - East,NSW,2019,125342.0,25193.0
11101,Lake Macquarie - East,NSW,2020,126112.0,25916.0
11101,Lake Macquarie - East,NSW,2021,126606.0,26577.0
11101,Lake Macquarie - East,NSW,2022,127321.0,26995.0
11101,Lake Macquarie - East,NSW,2023,128399.0,27558.0
11101,Lake Macquarie - East,NSW,2024,129234.0,28081.0
11102,Lake Macquarie - West,NSW,2019,81814.0,17468.0
11102,Lake Macquarie - West,NSW,2020,83530.0,18235.0
11102,Lake Macquarie - West,NSW,2021,85113.0,18934.0
11102,Lake Macquarie - West,NSW,2022,86920.0,19371.0
11102,Lake Macquarie - West,NSW,2023,88416.0,19724.0
11102,Lake Macquarie - West,NSW,2024,90226.0,20111.0
11103,Newcastle,NSW,2019,176021.0,28412.0
11103,Newcastle,NSW,2020,178080.0,29387.0
11103,Newcastle,NSW,2021,179587.0,30407.0
11103,Newcastle,NSW,2022,182078.0,30846.0
11103,Newcastle,NSW,2023,185040.0,31277.0
11103,Newcastle,NSW,2024,187897.0,31958.0
11201,Richmond Valley - Coastal,NSW,2019,85266.0,18764.0
11201,Richmond Valley - Coastal,NSW,2020,86666.0,19533.0
11201,Richmond Valley - Coastal,NSW,2021,87664.0,20161.0
11201,Richmond Valley - Coastal,NSW,2022,88799.0,20724.0
11201,Richmond Valley - Coastal,NSW,2023,89922.0,21272.0
11201,Richmond Valley - Coastal,NSW,2024,91379.0,21921.0
11202,Richmond Valley - Hinterland,NSW,2019,71792.0,14663.0
11202,Richmond Valley - Hinterland,NSW,2020,71925.0,15186.0
11202,Richmond Valley - Hinterland,NSW,2021,71940.0,15701.0
11202,Richmond Valley - Hinterland,NSW,2022,71990.0,15937.0
11202,Richmond Valley - Hinterland,NSW,2023,71549.0,16265.0
11202,Richmond Valley - Hinterland,NSW,2024,71639.0,16704.0
11203,Tweed Valley,NSW,2019,96068.0,23994.0
11203,Tweed Valley,NSW,2020,96857.0,24674.0
11203,Tweed Valley,NSW,2021,97216.0,25364.0
11203,Tweed Valley,NSW,2022,97966.0,25929.0
11203,Tweed Valley,NSW,2023,98963.0,26335.0
11203,Tweed Valley,NSW,2024,99793.0,26951.0
11301,Griffith - Murrumbidgee (West),NSW,2019,49987.0,8322.0
11301,Griffith - Murrumbidgee (West),NSW,2020,50056.0,8455.0
11301,Griffith - Murrumbidgee (West),NSW,2021,49883.0,8565.0
11301,Griffith - Murrumbidgee (West),NSW,2022,49607.0,8733.0
11301,Griffith - Murrumbidgee (West),NSW,2023,49649.0,8835.0
11301,Griffith - Murrumbidgee (West),NSW,2024,49946.0,9103.0
11302,Tumut - Tumbarumba,NSW,2019,14854.0,3253.0
11302,Tumut - Tumbarumba,NSW,2020,14924.0,3347.0
11302,Tumut - Tumbarumba,NSW,2021,14933.0,3399.0
11302,Tumut - Tumbarumba,NSW,2022,14945.0,3489.0
11302,Tumut - Tumbarumba,NSW,2023,14947.0,3596.0
11302,Tumut - Tumbarumba,NSW,2024,14971.0,3676.0
11303,Wagga Wagga,NSW,2019,98012.0,17422.0
11303,Wagga Wagga,NSW,2020,98914.0,18042.0
11303,Wagga Wagga,NSW,2021,99471.0,18621.0
11303,Wagga Wagga,NSW,2022,100028.0,19068.0
11303,Wagga Wagga,NSW,2023,100611.0,19541.0
11303,Wagga Wagga,NSW,2024,100935.0,20093.0
11401,Shoalhaven,NSW,2019,105598.0,27675.0
11401,Shoalhaven,NSW,2020,107054.0,28611.0
11401,Shoalhaven,NSW,2021,108349.0,29620.0
11401,Shoalhaven,NSW,2022,109363.0,30265.0
11401,Shoalhaven,NSW,2023,109639.0,30798.0
11401,Shoalhaven,NSW,2024,110537.0,31663.0
11402,Southern Highlands,NSW,2019,51267.0,13344.0
11402,Southern Highlands,NSW,2020,51986.0,13878.0
11402,Southern Highlands,NSW,2021,52459.0,14324.0
11402,Southern Highlands,NSW,2022,52800.0,14675.0
11402,Southern Highlands,NSW,2023,53123.0,14884.0
11402,Southern Highlands,NSW,2024,53517.0,15109.0
11501,Baulkham Hills,NSW,2019,154880.0,24948.0
11501,Baulkham Hills,NSW,2020,155746.0,26095.0
11501,Baulkham Hills,NSW,2021,155277.0,26984.0
11501,Baulkham Hills,NSW,2022,155374.0,27653.0
11501,Baulkham Hills,NSW,2023,158091.0,28336.0
11501,Baulkham Hills,NSW,2024,159856.0,29062.0
11502,Dural - Wisemans Ferry,NSW,2019,27943.0,5245.0
11502,Dural - Wisemans Ferry,NSW,2020,28043.0,5438.0
11502,Dural - Wisemans Ferry,NSW,2021,28034.0,5672.0
11502,Dural - Wisemans Ferry,NSW,2022,28008.0,5802.0
11502,Dural - Wisemans Ferry,NSW,2023,28226.0,5938.0
11502,Dural - Wisemans Ferry,NSW,2024,28423.0,6028.0
11503,Hawkesbury,NSW,2019,25249.0,3740.0
11503,Hawkesbury,NSW,2020,25227.0,3833.0
11503,Hawkesbury,NSW,2021,25154.0,3951.0
11503,Hawkesbury,NSW,2022,25130.0,4095.0
11503,Hawkesbury,NSW,2023,25175.0,4295.0
11503,Hawkesbury,NSW,2024,25243.0,4445.0
11504,Rouse Hill - McGraths Hill,NSW,2019,45383.0,3935.0
11504,Rouse Hill - McGraths Hill,NSW,2020,50984.0,4427.0
11504,Rouse Hill - McGraths Hill,NSW,2021,56966.0,4985.0
11504,Rouse Hill - McGraths Hill,NSW,2022,62992.0,5480.0
11504,Rouse Hill - McGraths Hill,NSW,2023,68565.0,6162.0
11504,Rouse Hill - McGraths Hill,NSW,2024,74414.0,6775.0
11601,Blacktown,NSW,2019,144781.0,18433.0
11601,Blacktown,NSW,2020,144932.0,19045.0
11601,Blacktown,NSW,2021,143598.0,19429.0
11601,Blacktown,NSW,2022,143628.0,19873.0
11601,Blacktown,NSW,2023,145853.0,20411.0
11601,Blacktown,NSW,2024,147185.0,20969.0
11602,Blacktown - North,NSW,2019,120628.0,8572.0
11602,Blacktown - North,NSW,2020,132894.0,9491.0
11602,Blacktown - North,NSW,2021,143785.0,10380.0
11602,Blacktown - North,NSW,2022,155305.0,11150.0
11602,Blacktown - North,NSW,2023,166901.0,12075.0
11602,Blacktown - North,NSW,2024,176444.0,13047.0
11603,Mount Druitt,NSW,2019,118503.0,12601.0
11603,Mount Druitt,NSW,2020,118049.0,13064.0
11603,Mount Druitt,NSW,2021,116792.0,13420.0
11603,Mount Druitt,NSW,2022,116243.0,13668.0
11603,Mount Druitt,NSW,2023,117656.0,14114.0
11603,Mount Druitt,NSW,2024,118825.0,14627.0
11701,Botany,NSW,2019,55423.0,6596.0
11701,Botany,NSW,2020,57666.0,6822.0
11701,Botany,NSW,2021,59245.0,6988.0
11701,Botany,NSW,2022,60892.0,7132.0
11701,Botany,NSW,2023,61984.0,7353.0
11701,Botany,NSW,2024,62328.0,7479.0
11702,Marrickville - Sydenham - Petersham,NSW,2019,57398.0,6910.0
11702,Marrickville - Sydenham - Petersham,NSW,2020,56787.0,7033.0
11702,Marrickville - Sydenham - Petersham,NSW,2021,55133.0,6922.0
11702,Marrickville - Sydenham - Petersham,NSW,2022,54913.0,6933.0
11702,Marrickville - Sydenham - Petersham,NSW,2023,56327.0,6956.0
11702,Marrickville - Sydenham - Petersham,NSW,2024,57207.0,7042.0
11703,Sydney Inner City,NSW,2019,236516.0,20522.0
11703,Sydney Inner City,NSW,2020,234080.0,20957.0
