sa3_code,sa3_name,year,residential_users,home_care_users,total_users
31004,Springfield - Redbank,2024,0,406,406
31004,Springfield - Redbank,2025,0,430,430
31101,Beaudesert,2023,216,223,439
31101,Beaudesert,2024,214,214,428
31101,Beaudesert,2025,216,201,417
31102,Beenleigh,2023,240,379,619
31102,Beenleigh,2024,243,407,650
31102,Beenleigh,2025,237,440,677
31103,Browns Plains,2023,488,589,1077
31103,Browns Plains,2024,496,634,1130
31103,Browns Plains,2025,518,677,1195
31104,Jimboomba,2023,145,231,376
31104,Jimboomba,2024,142,262,404
31104,Jimboomba,2025,141,296,437
31105,Loganlea - Carbrook,2023,690,605,1295
31105,Loganlea - Carbrook,2024,733,602,1335
31105,Loganlea - Carbrook,2025,742,619,1361
31106,Springwood - Kingston,2023,539,638,1177
