acpr_code,acpr_name,state,year,total_users,n_permanent,n_respite,n_indigenous,n_male,n_female,n_nesb,n_english_speaking,n_age_0_49,n_age_50_54,n_age_55_59,n_age_60_64,n_age_65_69,n_age_70_74,n_age_75_79,n_age_80_84,n_age_85_89,n_age_90_94,n_age_95_99,n_age_100_plus
315,West Moreton,QLD,2024,1267,1239,28,23,448,819,83,115,0,0,2,7,34,118,175,261,308,237,107,18
316,Wide Bay,QLD,2024,2525,2431,94,57,881,1644,167,264,1,2,3,13,53,196,348,519,638,484,227,41
401,Eyre Peninsula,SA,2024,245,233,12,3,91,154,21,38,0,0,2,5,8,15,25,55,52,54,20,9
402,"Hills, Mallee & Southern",SA,2024,1484,1345,139,12,525,959,106,242,0,0,1,2,40,76,193,249,355,365,165,38
403,Metropolitan East,SA,2024,2781,2649,132,3,853,1926,628,329,0,1,2,6,39,132,290,459,655,704,416,77
404,Metropolitan North,SA,2024,3378,3208,170,30,1193,2184,608,715,0,1,3,10,101,271,510,632,807,687,307,49
405,Metropolitan South,SA,2024,3919,3749,170,15,1259,2660,475,631,1,0,3,12,87,261,484,700,879,932,469,91
406,Metropolitan West,SA,2024,2692,2538,154,18,901,1790,873,220,1,2,5,10,68,174,310,442,684,616,328,52
407,Mid North,SA,2024,311,288,23,1,99,212,12,13,0,0,1,2,10,17,32,60,83,72,32,2
408,Riverland,SA,2024,357,332,25,2,124,233,28,20,0,1,0,2,11,30,47,60,93,70,35,8
409,South East,SA,2024,590,548,42,9,178,412,48,50,0,0,0,3,11,31,79,100,153,148,60,5
410,Flinders & Far North,SA,2024,107,102,5,2,33,74,10,5,0,0,0,0,6,7,12,30,30,14,8,0
411,"Yorke, Lower North & Barossa",SA,2024,1289,1219,70,10,444,844,49,159,2,0,3,5,30,76,161,241,328,286,133,24
501,Goldfields,WA,2024,183,180,3,16,70,113,9,26,0,0,2,2,6,15,30,43,38,34,10,3
502,Great Southern,WA,2024,410,408,2,5,141,269,35,86,0,0,2,3,10,27,50,87,102,78,42,9
503,Kimberley,WA,2024,107,101,6,78,52,55,4,5,0,1,3,5,14,21,15,20,18,8,1,1
504,Metropolitan East,WA,2024,2932,2868,64,33,1097,1835,618,582,0,1,6,21,113,243,376,555,716,583,271,47
505,Metropolitan North,WA,2024,5007,4895,112,11,1628,3378,1055,1085,0,1,5,18,103,341,554,891,1234,1194,558,108
506,Metropolitan South East,WA,2024,3458,3379,79,52,1203,2254,700,841,1,3,6,21,96,243,510,638,848,700,325,67
507,Metropolitan South West,WA,2024,4343,4246,97,25,1420,2923,728,1031,0,1,2,13,95,268,463,854,1053,1032,465,97
508,Mid West,WA,2024,271,269,2,11,82,189,19,36,0,0,1,2,4,24,34,61,68,57,17,3
509,Pilbara,WA,2024,52,51,1,37,26,26,2,2,0,1,2,7,7,7,9,14,4,1,0,0
510,South West,WA,2024,1195,1175,20,12,370,825,103,241,0,2,1,5,30,67,150,205,331,256,126,22
511,Wheatbelt,WA,2024,262,259,3,17,98,164,14,42,0,0,1,0,9,24,32,48,78,45,21,4
601,North Western,TAS,2024,1094,1055,39,19,398,696,58,105,2,1,4,6,31,80,133,201,289,223,105,19
602,Northern,TAS,2024,1345,1286,59,10,478,867,78,145,1,0,2,9,30,109,175,245,334,295,126,19
603,Southern,TAS,2024,2105,2032,73,28,723,1382,194,267,0,5,4,9,68,186,288,405,495,442,177,26
701,Alice Springs,NT,2024,155,139,16,95,64,91,5,8,0,0,4,6,10,31,35,20,26,19,3,1
703,Darwin,NT,2024,320,315,5,60,127,193,65,50,0,0,1,5,14,42,60,73,59,45,18,3
705,Katherine,NT,2024,53,41,12,33,32,21,1,3,0,1,3,2,5,12,15,6,5,2,2,0
801,ACT,ACT,2024,2471,2409,62,13,837,1634,506,306,0,0,3,3,54,148,340,463,628,557,232,43
101,Central Coast,NSW,2021,3387,3239,148,32,1132,2255,276,442,1,9,15,46,116,218,378,576,767,850,350,61
102,Central West,NSW,2021,1813,1752,61,47,672,1141,96,98,12,8,32,34,79,168,197,324,402,391,143,23
103,Far North Coast,NSW,2021,3307,3167,140,37,1198,2109,184,374,4,9,14,44,133,235,341,549,763,804,346,65
