acpr_code,acpr_name,state,year,total_users,n_male,n_female,n_indigenous,n_nesb,n_english_speaking,hcp_l1,hcp_l2,hcp_l3,hcp_l4,n_age_0_49,n_age_50_54,n_age_55_59,n_age_60_64,n_age_65_69,n_age_70_74,n_age_75_79,n_age_80_84,n_age_85_89,n_age_90_94,n_age_95_99,n_age_100_plus
406,Metropolitan West,SA,2024,3106,1007,2098,474,1368,191,58,980,1373,695,0,28,62,107,163,294,547,648,739,407,105,6
407,Mid North,SA,2024,368,125,243,11,30,54,44,185,103,36,0,1,2,2,17,44,79,96,79,39,8,1
408,Riverland,SA,2024,718,256,462,31,102,45,10,262,271,175,0,1,3,9,28,91,137,155,158,98,33,5
409,South East,SA,2024,631,214,417,12,42,57,44,356,184,47,0,1,2,4,26,75,104,151,132,115,20,1
410,Flinders & Far North,SA,2024,299,106,193,11,23,46,20,140,115,24,0,0,1,1,12,47,64,77,71,22,3,1
411,"Yorke, Lower North & Barossa",SA,2024,984,362,622,34,72,121,45,510,323,106,0,1,1,4,44,108,211,223,236,113,40,3
501,Goldfields,WA,2024,126,47,79,11,9,16,1,36,52,37,0,0,0,1,10,15,24,25,28,20,3,0
502,Great Southern,WA,2024,437,177,260,8,45,107,5,65,168,199,0,0,0,1,13,46,67,102,95,85,25,3
503,Kimberley,WA,2024,130,38,92,106,1,8,0,69,38,23,0,2,10,14,17,32,25,16,9,4,1,0
504,Metropolitan East,WA,2024,3787,1325,2462,97,1391,606,61,905,1375,1446,2,8,24,24,190,409,715,790,856,584,159,26
505,Metropolitan North,WA,2024,5604,1983,3620,67,1469,1099,153,1503,2010,1938,2,7,17,33,198,636,964,1269,1318,870,254,36
506,Metropolitan South East,WA,2024,4614,1638,2976,55,1282,1001,91,1247,1553,1723,4,4,11,26,159,484,783,1062,1177,664,220,20
507,Metropolitan South West,WA,2024,3666,1290,2376,41,788,834,32,872,1360,1402,0,5,5,17,105,324,585,832,962,638,165,28
508,Mid West,WA,2024,198,80,118,19,16,31,1,40,62,95,0,0,4,2,7,23,33,53,38,27,9,2
509,Pilbara,WA,2024,49,17,32,27,2,3,1,9,23,16,0,2,4,7,5,8,9,6,7,1,0,0
510,South West,WA,2024,1234,463,770,35,142,221,3,189,446,596,4,2,6,19,59,135,238,251,283,176,56,5
511,Wheatbelt,WA,2024,789,303,486,60,70,133,3,138,370,278,1,2,9,15,41,115,199,182,129,77,18,1
601,North Western,TAS,2024,1201,419,782,52,87,142,83,530,395,193,0,0,1,3,52,170,227,293,278,133,42,2
602,Northern,TAS,2024,1820,590,1230,59,132,197,80,744,665,331,1,0,5,7,72,236,366,439,410,231,48,5
603,Southern,TAS,2024,3001,971,2030,152,308,319,130,1260,1135,476,0,5,7,16,127,399,578,668,702,403,88,8
701,Alice Springs,NT,2024,203,59,144,104,16,14,3,80,82,38,0,5,19,15,27,32,31,26,27,15,6,0
702,Barkly,NT,2024,5,2,3,4,1,0,0,3,1,1,0,0,1,0,2,0,1,1,0,0,0,0
703,Darwin,NT,2024,604,242,362,124,151,60,1,176,242,185,1,4,12,17,45,114,137,122,101,37,13,1
704,East Arnhem,NT,2024,159,71,88,149,1,0,0,82,50,27,0,9,20,35,34,34,14,9,2,2,0,0
705,Katherine,NT,2024,80,36,44,51,4,4,0,39,27,14,0,1,3,2,13,22,18,10,7,4,0,0
801,ACT,ACT,2024,2391,745,1645,38,609,266,40,813,740,798,0,1,9,6,82,211,435,575,599,370,87,16
101,Central Coast,NSW,2021,4591,1479,3111,166,497,454,485,1994,1404,708,5,18,33,55,207,460,751,1017,1072,764,186,23
102,Central West,NSW,2021,2632,862,1770,166,315,161,351,1283,673,325,1,17,40,70,154,283,444,585,583,374,73,8
103,Far North Coast,NSW,2021,2672,949,1722,60,148,291,361,1214,624,473,0,5,14,20,129,283,436,595,664,417,98,11
104,Hunter,NSW,2021,5701,1970,3729,140,515,425,726,2318,1344,1313,2,20,35,39,224,645,970,1336,1341,861,202,26
105,Illawarra,NSW,2021,4151,1304,2846,209,808,387,451,1781,1064,855,2,9,22,46,185,392,647,947,1039,674,169,19
106,Inner West,NSW,2021,4215,1358,2856,12,3286,108,527,1744,1124,820,1,1,5,6,124,400,616,1071,1131,668,171,21
107,Mid North Coast,NSW,2021,4508,1642,2864,228,246,417,573,1696,1293,946,1,20,45,87,249,489,797,1003,1052,616,132,17
108,Nepean,NSW,2021,1237,404,833,9,259,159,107,578,346,206,2,1,3,7,58,136,206,287,280,200,50,7
109,New England,NSW,2021,984,353,629,90,34,51,121,441,244,178,0,5,15,29,55,119,172,233,197,121,36,2
110,Northern Sydney,NSW,2021,4758,1592,3164,18,1617,484,628,1875,1165,1090,0,1,5,8,122,421,662,1101,1217,932,263,26
111,Orana Far West,NSW,2021,3753,1263,2490,123,569,252,938,1684,819,312,1,8,23,44,188,467,637,848,857,541,130,9
112,Riverina/Murray,NSW,2021,2704,906,1797,80,238,148,389,1194,669,452,5,13,25,46,159,326,470,625,627,334,65,9
113,South East Sydney,NSW,2021,5907,2018,3888,176,3026,380,824,2330,1536,1217,0,12,28,65,274,681,896,1397,1354,897,272,31
114,South West Sydney,NSW,2021,3435,1147,2286,33,2055,161,527,1396,877,635,1,3,5,17,202,407,580,776,803,487,135,19
115,Southern Highlands,NSW,2021,1508,515,992,104,124,143,134,707,371,296,2,14,21,21,98,169,251,333,340,195,60,4
116,Western Sydney,NSW,2021,6536,2085,4450,65,3350,426,991,2571,1639,1335,2,8,21,30,331,862,1102,1557,1402,947,241,33
201,Barwon-South Western,Vic,2021,3063,1024,2039,52,394,292,172,1425,732,734,0,2,15,21,127,365,560,735,692,431,107,8
202,Eastern Metro,Vic,2021,8530,2876,5653,57,4402,657,939,4038,1820,1733,1,1,17,31,321,898,1428,2147,2185,1177,285,39
203,Gippsland,Vic,2021,3457,1234,2222,73,396,416,436,1553,829,639,1,10,31,45,204,493,702,846,683,365,70,7
204,Grampians,Vic,2021,1155,443,711,8,135,104,60,616,234,245,0,3,4,12,81,159,214,254,239,137,48,4
205,Hume,Vic,2021,3298,1166,2132,262,630,225,258,1660,745,635,1,26,61,68,205,484,605,754,646,370,69,9
206,Loddon-Mallee,Vic,2021,1851,667,1184,37,183,107,111,850,433,457,1,5,12,19,74,265,358,417,406,234,56,4
207,Northern Metro,Vic,2021,4730,1600,3130,52,2974,169,340,2016,1169,1205,0,3,12,31,232,624,784,1149,1139,620,118,18
208,Southern Metro,Vic,2021,18379,6585,11789,107,8116,1835,1756,7814,4328,4481,8,20,35,70,946,2429,3353,4400,4051,2374,618,75
209,Western Metro,Vic,2021,5571,1918,3652,53,3881,192,286,2309,1434,1542,2,8,35,51,364,801,1028,1282,1208,624,150,18
301,Brisbane North,Qld,2021,5480,1816,3663,45,1029,611,451,1960,1561,1508,3,9,9,29,209,558,886,1176,1302,988,277,34
302,Brisbane South,Qld,2021,4792,1686,3104,68,1453,556,410,1655,1440,1287,4,5,19,30,278,668,843,1056,1036,673,156,24
303,Cabool,Qld,2021,3031,1083,1948,123,486,437,280,1071,923,757,2,15,21,41,196,435,549,640,600,420,99,13
304,Central West,Qld,2021,20,9,11,3,1,1,2,11,1,6,0,0,0,2,1,2,5,6,2,1,1,0
305,Darling Downs,Qld,2021,2355,839,1516,32,132,150,322,939,500,594,2,2,7,9,102,278,418,570,564,331,61,11
306,Far North,Qld,2021,1415,517,898,116,167,140,84,673,360,298,1,8,11,21,96,223,258,289,282,177,47,2
307,Fitzroy,Qld,2021,1890,688,1201,51,71,145,96,631,825,338,1,5,5,14,104,272,335,433,426,235,52,8
308,Logan River Valley,Qld,2021,1461,515,946,41,325,202,110,576,394,381,1,2,12,17,99,224,267,313,318,173,31,4
309,Mackay,Qld,2021,400,135,265,4,25,31,41,233,67,59,0,0,2,3,17,44,66,90,108,56,13,1
310,North West,Qld,2021,83,31,52,21,2,3,4,34,24,21,0,0,2,5,12,17,11,9,17,6,4,0
311,Northern,Qld,2021,1661,586,1075,91,174,119,90,508,461,602,0,4,13,21,84,230,302,379,365,205,51,7
312,South Coast,Qld,2021,3007,1064,1943,45,467,500,322,1181,733,771,2,4,4,20,160,422,492,694,642,444,111,12
313,South West,Qld,2021,197,85,112,9,5,11,24,82,40,51,0,0,0,2,9,30,31,46,45,28,6,0
314,Sunshine Coast,Qld,2021,4119,1572,2546,42,333,623,322,1739,1050,1008,4,6,17,28,212,481,745,958,953,560,137,18
315,West Moreton,Qld,2021,694,264,430,21,64,81,104,293,145,152,0,2,2,2,46,135,129,147,115,95,18,3
316,Wide Bay,Qld,2021,1809,666,1142,45,98,215,225,828,439,317,0,3,4,16,102,245,360,420,348,249,54,8
401,Eyre Peninsula,SA,2021,441,149,292,17,30,40,31,239,95,76,0,0,5,7,25,41,76,102,88,64,27,6
402,"Hills, Mallee & Southern",SA,2021,1221,392,829,14,215,171,105,527,326,263,0,1,1,6,42,123,190,301,308,204,40,5
403,Metropolitan East,SA,2021,4619,1618,3000,18,1373,675,416,1470,1494,1239,0,3,14,7,195,499,756,1048,1122,749,206,20
404,Metropolitan North,SA,2021,1292,433,859,5,252,316,105,484,378,325,0,1,3,5,60,163,196,311,317,191,41,4
405,Metropolitan South,SA,2021,2192,721,1469,7,484,353,109,793,716,574,1,2,1,5,73,222,367,495,510,390,116,10
406,Metropolitan West,SA,2021,1878,611,1266,107,719,160,87,528,646,617,0,7,21,38,83,200,270,416,460,297,77,9
407,Mid North,SA,2021,230,80,150,6,18,14,31,87,59,53,0,0,0,2,13,35,43,41,54,30,11,1
408,Riverland,SA,2021,488,170,318,7,45,27,18,229,159,82,0,0,1,5,22,70,84,128,93,66,19,0
409,South East,SA,2021,476,159,317,1,38,43,62,247,106,61,0,0,1,2,24,48,93,97,102,81,23,5
410,Flinders & Far North,SA,2021,198,66,132,4,18,34,18,77,71,32,0,0,0,0,3,28,47,60,33,21,5,1
411,"Yorke, Lower North & Barossa",SA,2021,578,204,373,24,29,63,56,270,156,96,0,1,7,13,22,75,85,131,135,81,26,2
501,Goldfields,WA,2021,95,44,51,11,5,10,9,25,26,35,0,1,1,1,9,10,16,23,21,12,1,0
502,Great Southern,WA,2021,352,146,206,0,33,91,5,56,98,193,0,0,0,1,14,42,63,78,84,51,15,4
503,Kimberley,WA,2021,145,49,96,78,4,2,2,81,35,27,0,2,5,20,30,30,28,13,10,6,1,0
504,Metropolitan East,WA,2021,2223,772,1450,19,964,368,104,601,621,897,1,1,8,18,81,249,349,484,538,362,116,16
505,Metropolitan North,WA,2021,3492,1215,2276,21,838,779,171,1000,947,1374,0,2,8,24,151,354,534,783,852,603,160,21
506,Metropolitan South East,WA,2021,3118,1064,2054,26,839,717,130,906,728,1354,1,5,5,17,156,328,486,728,740,499,136,17
507,Metropolitan South West,WA,2021,2782,985,1796,18,748,639,146,731,802,1103,1,2,5,19,137,314,421,661,661,422,128,11
508,Mid West,WA,2021,203,78,125,12,18,30,1,48,54,100,0,1,2,4,14,23,29,50,41,31,7,1
509,Pilbara,WA,2021,50,19,31,22,1,2,0,16,15,19,0,0,13,6,5,7,9,4,5,1,0,0
510,South West,WA,2021,821,283,538,4,68,185,8,177,236,400,1,2,4,7,35,99,123,192,182,133,36,7
511,Wheatbelt,WA,2021,608,249,359,19,52,98,13,108,194,293,1,1,10,20,44,90,133,141,88,65,14,1
601,North Western,Tas,2021,710,249,461,20,37,96,79,287,173,171,0,0,1,5,43,92,130,195,142,79,22,1
602,Northern,Tas,2021,1308,429,879,23,145,140,85,582,340,301,0,1,2,6,74,196,229,263,312,169,51,5
603,Southern,Tas,2021,2040,692,1347,57,217,237,110,808,676,446,0,3,13,23,141,257,323,508,457,245,64,6
701,Alice Springs,NT,2021,148,46,102,51,9,11,2,78,21,47,0,1,6,3,23,36,20,23,22,11,3,0
702,Barkly,NT,2021,4,2,2,3,1,0,0,3,0,1,0,0,1,0,0,1,1,1,0,0,0,0
703,Darwin,NT,2021,464,200,264,76,109,44,7,121,139,197,1,2,11,11,35,89,84,111,68,40,9,3
704,East Arnhem,NT,2021,101,34,67,80,0,0,7,61,9,24,0,2,21,10,26,12,21,7,1,1,0,0
705,Katherine,NT,2021,60,25,35,36,1,0,1,34,15,10,0,1,2,6,11,14,9,11,4,1,1,0
801,ACT,ACT,2021,2080,657,1423,60,539,265,87,795,457,741,0,5,10,11,71,234,384,502,451,311,97,4
101.0,Central Coast,NSW,2020,4722,1523,3197,178,542,448,527,2103,1256,836,5,22,35,70,217,500,799,1053,1103,719,181,18
102.0,Central West,NSW,2020,2755,919,1836,61,375,192,1121,891,430,313,0,14,17,42,147,305,453,677,644,368,81,7
103.0,Far North Coast,NSW,2020,2322,822,1500,56,124,245,424,1024,381,493,0,6,8,21,113,249,377,551,562,338,89,8
104.0,Hunter,NSW,2020,5069,1767,3299,134,452,414,633,1910,1088,1438,3,15,30,35,251,562,862,1186,1224,730,152,19
105.0,Illawarra,NSW,2020,4228,1322,2905,239,732,381,427,1927,843,1031,2,10,33,55,187,424,659,1016,1000,675,148,19
106.0,Inner West,NSW,2020,3440,1088,2351,9,2617,89,520,1473,695,752,0,2,2,7,117,294,536,885,929,528,121,19
107.0,Mid North Coast,NSW,2020,3534,1257,2275,185,192,329,487,1395,837,815,3,21,41,87,204,380,610,779,797,491,105,16
108.0,Nepean,NSW,2020,1167,400,767,8,252,164,124,561,286,196,1,2,6,7,63,135,184,252,282,187,42,6
109.0,New England,NSW,2020,828,301,527,83,28,47,65,404,171,188,0,7,15,27,39,93,144,194,174,111,21,3
110.0,Northern Sydney,NSW,2020,3870,1261,2607,12,1172,432,499,1539,820,1012,0,0,5,7,116,309,505,850,1050,765,237,26
111.0,Orana Far West,NSW,2020,678,215,463,72,19,28,121,329,110,118,0,6,17,26,48,93,118,135,127,93,14,1
112.0,Riverina/Murray,NSW,2020,2173,729,1443,75,178,105,348,960,440,425,5,11,25,30,126,278,355,531,496,253,58,5
113.0,South East Sydney,NSW,2020,4314,1487,2826,153,2049,284,649,1713,928,1024,1,11,24,66,232,458,657,962,1015,668,195,25
114.0,South West Sydney,NSW,2020,2637,851,1785,24,1438,130,450,1097,516,574,1,2,4,17,131,289,399,604,643,411,116,20
115.0,Southern Highlands,NSW,2020,1305,438,866,86,114,124,139,617,236,313,1,11,17,26,79,155,209,322,273,168,40,4
116.0,Western Sydney,NSW,2020,5226,1672,3552,47,2402,366,816,1986,1098,1326,2,8,20,28,271,601,873,1247,1202,747,196,31
201.0,Barwon-South Western,Vic,2020,2666,903,1763,47,350,251,205,1318,494,649,0,6,8,22,116,324,479,647,612,360,83,9
202.0,Eastern Metro,Vic,2020,6271,2090,4179,57,2950,525,712,3157,1014,1388,1,5,13,41,266,673,1006,1580,1578,869,207,32
203.0,Gippsland,Vic,2020,2545,908,1636,69,310,295,505,1130,388,522,2,14,31,46,170,355,491,632,495,240,60,9
204.0,Grampians,Vic,2020,1007,387,620,6,105,99,67,568,162,210,2,0,3,17,75,141,174,239,203,117,33,3
205.0,Hume,Vic,2020,3037,1125,1912,239,560,186,244,1543,604,646,0,29,55,66,217,459,538,678,600,326,60,9
206.0,Loddon-Mallee,Vic,2020,1615,571,1044,39,153,89,149,776,279,411,1,5,16,14,78,229,308,380,328,209,42,5
207.0,Northern Metro,Vic,2020,3865,1345,2520,49,2431,139,370,1600,796,1099,2,3,11,30,215,502,639,982,885,492,90,14
208.0,Southern Metro,Vic,2020,13704,4952,8748,90,6093,1364,1706,6052,2544,3402,9,12,46,78,767,1857,2519,3236,3006,1699,429,46
209.0,Western Metro,Vic,2020,4715,1631,3083,49,3111,201,252,2174,956,1333,0,13,36,74,337,631,897,1061,1014,521,118,13
301.0,Brisbane North,Qld,2020,4376,1440,2935,30,799,473,441,1600,1042,1293,5,8,13,28,195,430,642,952,1081,799,202,21
302.0,Brisbane South,Qld,2020,3990,1399,2590,49,1259,436,426,1410,953,1201,5,6,16,25,254,554,719,861,855,549,127,19
303.0,Cabool,Qld,2020,2468,859,1609,84,354,373,269,911,601,687,0,13,21,38,186,290,461,516,518,333,86,6
304.0,Central West,Qld,2020,19,8,11,2,0,1,1,6,2,10,0,0,0,2,1,5,4,3,2,2,0,0
305.0,Darling Downs,Qld,2020,2305,816,1489,42,130,163,287,947,369,702,3,4,7,10,136,276,435,554,519,286,68,7
306.0,Far North,Qld,2020,978,359,619,103,134,98,71,483,180,244,0,4,13,21,73,128,159,180,216,148,34,2
307.0,Fitzroy,Qld,2020,1641,598,1042,42,62,122,11,660,609,361,1,4,7,21,92,208,276,409,373,204,40,6
308.0,Logan River Valley,Qld,2020,1317,471,845,38,259,193,151,472,303,391,1,7,10,16,82,192,230,306,300,137,34,2
309.0,Mackay,Qld,2020,395,134,261,7,26,26,47,212,53,83,0,0,3,1,14,35,59,107,102,60,11,3
310.0,North West,Qld,2020,83,33,49,25,3,3,2,39,18,24,0,0,1,8,8,21,12,13,10,6,4,0
311.0,Northern,Qld,2020,1337,464,872,82,133,79,89,478,260,510,0,4,14,20,75,169,268,284,296,164,38,5
312.0,South Coast,Qld,2020,2773,965,1808,33,439,470,355,1072,572,774,1,5,5,15,158,346,484,614,635,401,101,8
313.0,South West,Qld,2020,168,65,103,7,2,7,17,74,31,46,0,0,2,0,11,22,19,42,43,25,4,0
314.0,Sunshine Coast,Qld,2020,3490,1332,2156,26,280,518,309,1544,777,860,5,8,24,29,203,394,585,820,811,484,112,15
315.0,West Moreton,Qld,2020,618,245,373,15,55,76,118,248,89,163,0,2,2,1,45,98,109,149,112,81,18,1
316.0,Wide Bay,Qld,2020,1602,590,1011,26,80,190,264,708,324,306,0,1,1,9,100,212,332,352,340,195,52,8
401.0,Eyre Peninsula,SA,2020,357,116,241,18,26,34,52,153,74,78,0,1,6,7,15,33,57,86,74,54,19,5
402.0,"Hills, Mallee & Southern",SA,2020,968,323,645,15,166,137,82,445,185,256,0,1,1,6,35,112,140,231,248,161,29,4
403.0,Metropolitan East,SA,2020,3386,1186,2198,12,1007,546,423,1112,802,1049,1,4,13,8,125,350,572,792,816,548,141,16
404.0,Metropolitan North,SA,2020,1023,340,682,6,181,279,118,346,233,326,0,1,3,9,40,121,159,237,267,146,33,7
405.0,Metropolitan South,SA,2020,1740,536,1202,8,343,282,93,695,355,597,1,2,1,6,62,156,245,377,439,343,97,11
406.0,Metropolitan West,SA,2020,1277,422,854,87,424,112,91,390,289,507,0,7,18,23,62,122,198,269,301,214,54,9
407.0,Mid North,SA,2020,179,62,117,4,14,9,15,78,31,55,0,0,0,1,10,21,31,30,40,34,12,0
408.0,Riverland,SA,2020,327,121,206,5,28,23,14,156,82,75,0,0,2,4,17,43,63,59,67,55,15,2
409.0,South East,SA,2020,417,124,292,1,33,38,66,217,61,73,0,0,1,1,18,43,82,82,93,81,13,3
410.0,Flinders & Far North,SA,2020,150,47,103,5,10,25,15,53,35,47,0,0,2,0,6,22,32,48,23,9,7,1
411.0,"Yorke, Lower North & Barossa",SA,2020,430,155,274,29,22,45,41,197,88,104,0,3,9,8,16,64,61,86,95,68,19,1
501.0,Goldfields,WA,2020,76,29,47,5,5,5,4,22,21,29,0,1,0,1,8,7,12,20,14,12,1,0
502.0,Great Southern,WA,2020,305,129,176,1,26,73,18,60,62,165,0,1,1,2,12,30,55,70,70,44,17,3
503.0,Kimberley,WA,2020,133,47,86,76,2,1,6,60,41,26,0,0,8,19,24,23,25,13,12,8,1,0
504.0,Metropolitan East,WA,2020,1961,689,1272,14,809,352,100,619,393,849,1,5,4,17,77,217,313,408,479,331,93,16
505.0,Metropolitan North,WA,2020,2447,831,1616,13,605,544,142,841,505,959,0,4,6,18,102,251,337,561,620,416,118,14
506.0,Metropolitan South East,WA,2020,2625,915,1710,23,731,597,112,859,485,1169,3,5,4,19,113,272,405,591,650,422,131,10
507.0,Metropolitan South West,WA,2020,1996,702,1294,14,491,485,79,549,477,891,0,2,4,16,90,221,304,433,505,307,111,3
