acpr_code,acpr_name,state,year,total_users,n_male,n_female,n_indigenous,n_nesb,n_english_speaking,hcp_l1,hcp_l2,hcp_l3,hcp_l4,n_age_0_49,n_age_50_54,n_age_55_59,n_age_60_64,n_age_65_69,n_age_70_74,n_age_75_79,n_age_80_84,n_age_85_89,n_age_90_94,n_age_95_99,n_age_100_plus
704.0,East Arnhem,NT,2020,89,31,58,66,0,0,4,65,7,13,0,1,17,13,24,9,17,7,0,1,0,0
705.0,Katherine,NT,2020,60,28,32,33,1,2,0,42,9,9,0,1,3,6,12,13,13,9,3,0,0,0
801.0,ACT,ACT,2020,1810,579,1231,54,472,240,107,734,319,650,0,4,10,12,67,226,319,418,392,281,73,8
101,Central Coast,NSW,2022,9042,3120,5919,216,2715,853,641,3872,2841,1688,4,17,32,70,420,1154,1673,2065,2049,1218,304,36
102,Central West,NSW,2022,2535,780,1755,407,257,141,241,1252,732,310,0,22,61,93,181,277,429,536,521,329,80,6
103,Far North Coast,NSW,2022,2967,1044,1922,76,162,329,213,1415,819,520,0,5,14,17,133,296,488,696,745,449,110,14
104,Hunter,NSW,2022,6096,2081,4013,206,539,425,601,2629,1666,1200,4,18,46,38,229,652,1091,1432,1445,885,221,35
105,Illawarra,NSW,2022,4208,1301,2906,200,886,412,279,1908,1234,787,2,5,21,38,182,376,694,931,1048,695,197,19
106,Inner West,NSW,2022,4727,1557,3169,25,3766,102,277,2098,1538,814,0,1,6,6,129,428,757,1201,1290,684,195,30
107,Mid North Coast,NSW,2022,5198,1933,3264,322,292,461,399,2065,1712,1022,1,19,50,89,249,571,910,1174,1209,748,159,19
108,Nepean,NSW,2022,1645,541,1104,21,380,198,86,727,559,273,1,3,7,9,71,190,314,402,363,223,46,16
109,New England,NSW,2022,1121,395,725,127,34,53,86,522,347,166,0,1,23,29,71,136,193,245,223,160,38,2
110,Northern Sydney,NSW,2022,5580,1867,3712,27,2045,570,414,2369,1669,1128,0,5,4,10,135,496,813,1273,1458,1022,327,37
111,Orana Far West,NSW,2022,5995,1979,4016,182,919,412,674,3192,1656,473,0,9,23,44,242,655,1087,1406,1402,907,202,18
112,Riverina/Murray,NSW,2022,3243,1126,2117,111,277,171,302,1531,929,481,4,12,23,48,164,386,576,767,740,422,91,10
113,South East Sydney,NSW,2022,7021,2386,4633,222,3087,551,360,2925,2212,1524,0,15,38,56,289,764,1112,1603,1648,1093,364,39
114,South West Sydney,NSW,2022,4328,1507,2819,83,2577,206,314,1880,1407,727,1,3,15,20,269,549,784,966,939,588,171,23
115,Southern Highlands,NSW,2022,1780,597,1182,123,152,168,83,895,517,285,2,12,27,23,94,182,310,414,401,240,72,3
116,Western Sydney,NSW,2022,9218,3043,6174,103,5380,495,782,3960,2872,1604,1,4,20,30,504,1248,1687,2187,1983,1194,317,43
201,Barwon-South Western,Vic,2022,3660,1234,2426,67,470,312,91,1667,1071,831,0,3,12,17,156,383,667,901,893,500,122,6
202,Eastern Metro,Vic,2022,10382,3533,6848,72,5533,746,813,5014,2586,1969,1,1,13,23,337,1049,1796,2636,2684,1456,344,42
203,Gippsland,Vic,2022,4083,1483,2599,89,490,487,306,1839,1175,763,0,11,23,43,232,545,866,1006,838,419,95,5
204,Grampians,Vic,2022,1319,501,818,11,144,105,41,666,347,265,0,1,2,9,88,173,262,313,271,155,40,5
205,Hume,Vic,2022,3532,1242,2290,303,710,246,231,1816,857,628,0,25,55,68,214,487,674,803,721,378,99,8
206,Loddon-Mallee,Vic,2022,2126,769,1357,47,221,108,109,1002,530,485,1,3,11,16,84,296,414,485,489,257,65,5
207,Northern Metro,Vic,2022,5846,1894,3952,60,3779,224,241,2610,1580,1415,2,4,13,26,311,754,1080,1375,1405,697,159,20
208,Southern Metro,Vic,2022,18253,6356,11894,130,7999,1785,808,7938,5271,4236,5,11,27,54,771,2323,3354,4350,4182,2456,647,73
209,Western Metro,Vic,2022,6510,2215,4293,63,4595,231,136,2743,1999,1632,1,6,24,45,361,928,1214,1538,1479,722,172,20
301,Brisbane North,Qld,2022,8552,2954,5597,121,1732,993,381,3132,2839,2200,3,12,20,53,340,994,1468,1941,2002,1292,372,55
302,Brisbane South,Qld,2022,5865,2017,3847,136,1754,644,248,2087,2078,1452,5,9,23,40,314,823,1104,1365,1154,791,209,28
303,Cabool,Qld,2022,3955,1447,2508,202,654,590,202,1431,1380,942,3,19,27,45,222,558,760,861,815,507,124,14
304,Central West,Qld,2022,26,12,14,1,0,1,3,14,2,7,0,0,0,0,2,3,5,9,4,1,2,0
305,Darling Downs,Qld,2022,2522,871,1651,46,157,152,187,1041,722,572,2,1,8,7,115,282,445,584,640,357,72,9
306,Far North,Qld,2022,1778,669,1109,174,228,183,57,907,542,272,1,6,14,21,115,281,341,391,327,220,59,2
307,Fitzroy,Qld,2022,2133,758,1374,70,78,154,55,771,988,319,1,3,10,18,111,291,406,491,473,258,62,9
308,Logan River Valley,Qld,2022,1552,528,1024,55,346,229,48,598,524,382,0,2,14,12,84,227,306,348,334,177,40,8
309,Mackay,Qld,2022,430,141,289,10,22,37,28,241,102,59,0,0,0,2,22,44,75,95,118,56,16,2
310,North West,Qld,2022,86,32,54,26,3,2,1,38,28,19,0,0,1,3,15,20,12,8,17,6,2,2
311,Northern,Qld,2022,2063,730,1333,103,195,167,59,682,706,616,0,5,11,21,110,292,405,483,409,262,58,7
312,South Coast,Qld,2022,3382,1204,2178,60,519,550,185,1314,1044,839,1,3,4,18,159,439,634,784,724,473,129,14
313,South West,Qld,2022,191,79,112,17,3,9,17,91,46,37,0,1,0,1,8,28,32,47,43,27,4,0
314,Sunshine Coast,Qld,2022,5265,1984,3280,76,414,775,153,1969,1662,1481,2,8,13,34,269,596,974,1195,1268,699,183,24
315,West Moreton,Qld,2022,891,341,550,24,80,108,89,364,273,165,0,2,4,4,51,148,189,200,161,107,23,2
316,Wide Bay,Qld,2022,2335,865,1469,69,155,269,179,1005,756,395,0,4,7,13,133,296,475,569,484,273,74,7
401,Eyre Peninsula,SA,2022,776,281,494,22,154,79,62,433,192,89,0,0,2,11,44,87,130,205,163,95,33,6
402,"Hills, Mallee & Southern",SA,2022,1412,477,935,21,262,195,64,616,463,269,0,2,3,6,37,134,228,349,362,229,55,7
403,Metropolitan East,SA,2022,6484,2218,4265,41,1904,897,246,2238,2461,1539,0,4,12,15,246,707,1118,1508,1593,951,293,37
404,Metropolitan North,SA,2022,1799,612,1187,13,400,405,100,704,619,376,0,1,3,7,87,214,337,431,409,252,52,6
405,Metropolitan South,SA,2022,2989,1004,1984,9,534,480,55,850,1227,857,0,3,3,5,133,320,496,669,688,496,161,15
406,Metropolitan West,SA,2022,2227,703,1522,236,944,160,36,674,921,596,0,16,43,55,136,224,347,489,513,324,73,7
407,Mid North,SA,2022,268,94,174,12,19,24,20,129,74,45,0,0,1,8,14,34,61,51,56,36,6,1
408,Riverland,SA,2022,576,189,387,10,66,32,8,270,199,99,0,0,1,4,22,67,98,135,137,85,27,0
409,South East,SA,2022,530,199,331,4,33,48,46,272,160,52,0,0,0,5,31,54,93,101,130,97,18,1
410,Flinders & Far North,SA,2022,280,104,176,6,23,48,16,126,109,29,0,0,0,0,11,40,63,72,58,30,4,2
411,"Yorke, Lower North & Barossa",SA,2022,786,282,503,31,55,81,17,422,247,100,0,1,5,13,39,100,138,175,181,100,32,2
501,Goldfields,WA,2022,114,48,66,13,7,14,1,35,44,34,0,1,1,3,8,11,25,21,27,17,0,0
502,Great Southern,WA,2022,362,140,222,5,42,86,0,51,119,192,0,0,0,1,14,37,55,74,96,63,16,6
503,Kimberley,WA,2022,157,52,105,114,2,4,0,76,47,34,0,3,8,20,35,30,26,19,9,7,0,0
504,Metropolitan East,WA,2022,2812,987,1825,26,1153,451,47,759,951,1055,2,2,10,16,106,285,467,652,648,464,140,20
505,Metropolitan North,WA,2022,4480,1600,2879,32,1052,946,84,1248,1475,1673,0,6,11,26,183,471,748,1018,1061,731,189,36
506,Metropolitan South East,WA,2022,5052,1794,3258,52,1640,1009,146,1545,1556,1805,1,3,12,20,238,595,888,1205,1140,736,197,17
507,Metropolitan South West,WA,2022,2910,1051,1859,23,585,729,21,745,940,1204,0,3,6,14,115,266,426,711,723,491,136,19
508,Mid West,WA,2022,210,86,124,14,22,32,0,42,67,101,0,0,3,5,9,25,34,51,47,29,5,2
509,Pilbara,WA,2022,50,18,32,27,0,1,0,5,23,22,0,0,9,5,6,5,10,7,6,2,0,0
510,South West,WA,2022,951,337,614,10,80,201,7,191,289,464,2,0,4,8,42,117,145,214,225,140,47,7
511,Wheatbelt,WA,2022,707,282,425,41,58,94,6,139,250,312,1,2,10,22,55,101,153,155,138,59,11,0
601,North Western,Tas,2022,869,306,563,34,50,109,61,369,276,163,0,2,0,2,55,115,157,219,191,104,23,1
602,Northern,Tas,2022,1822,639,1183,32,283,180,73,766,597,386,0,1,0,10,90,272,342,396,411,238,58,4
603,Southern,Tas,2022,2459,853,1605,99,241,297,97,885,992,485,0,2,7,20,146,320,455,574,550,301,78,6
701,Alice Springs,NT,2022,182,53,129,76,13,13,0,93,40,49,0,3,9,14,25,32,24,35,22,13,5,0
702,Barkly,NT,2022,5,3,2,4,1,0,0,3,0,2,0,0,1,0,1,0,2,1,0,0,0,0
703,Darwin,NT,2022,589,245,344,108,150,67,3,144,215,227,2,4,13,13,48,107,108,138,87,52,15,2
704,East Arnhem,NT,2022,125,53,72,108,2,0,0,70,28,27,0,4,15,26,26,22,16,11,3,2,0,0
705,Katherine,NT,2022,56,23,33,32,2,2,0,27,15,14,0,0,2,3,10,12,10,11,7,1,0,0
801,ACT,ACT,2022,2262,738,1524,35,601,268,40,846,639,737,0,3,3,4,50,229,401,547,559,366,87,13
101,Central Coast,NSW,2023,5224,1768,3455,219,532,575,351,2244,1824,805,2,11,21,44,218,576,928,1178,1244,782,198,22
102,Central West,NSW,2023,5070,1695,3375,711,600,295,518,2444,1639,469,0,31,66,112,289,598,875,1122,1157,635,167,18
103,Far North Coast,NSW,2023,3431,1196,2234,101,195,378,249,1644,1021,517,0,4,10,16,141,363,589,796,885,489,122,16
104,Hunter,NSW,2023,6666,2275,4391,308,563,461,677,2872,1894,1223,3,16,49,52,264,686,1227,1586,1566,938,245,34
105,Illawarra,NSW,2023,4312,1366,2946,215,964,456,263,1878,1439,732,2,5,20,36,160,425,740,943,1094,675,190,22
106,Inner West,NSW,2023,5668,1877,3790,26,4569,128,356,2534,1935,843,0,0,4,8,192,539,945,1434,1492,813,212,29
107,Mid North Coast,NSW,2023,5603,2036,3565,392,302,485,399,2179,1989,1036,1,16,46,96,237,621,1054,1236,1276,812,189,19
108,Nepean,NSW,2023,1781,573,1208,30,448,202,92,760,636,293,1,4,5,10,70,227,335,464,366,229,57,13
109,New England,NSW,2023,1247,444,803,154,45,53,82,589,415,161,0,4,19,29,79,158,212,263,274,158,47,4
110,Northern Sydney,NSW,2023,6538,2256,4281,44,2539,645,489,2676,2146,1227,0,3,5,14,170,587,1008,1428,1749,1182,342,50
111,Orana Far West,NSW,2023,5308,1698,3610,236,793,347,551,2673,1573,511,0,5,24,40,192,568,971,1218,1298,777,191,24
112,Riverina/Murray,NSW,2023,3588,1239,2348,136,292,193,336,1689,1068,495,1,8,23,35,202,402,678,819,852,457,101,10
113,South East Sydney,NSW,2023,9532,3369,6161,257,3985,858,504,3890,3249,1889,0,13,34,51,421,1096,1606,2132,2285,1390,466,38
114,South West Sydney,NSW,2023,5684,1964,3720,113,3417,297,433,2371,2005,875,1,4,15,28,329,786,1071,1290,1207,718,205,30
115,Southern Highlands,NSW,2023,1851,622,1228,143,172,168,81,882,606,282,2,9,24,27,91,176,363,419,430,231,72,7
116,Western Sydney,NSW,2023,12265,4215,8049,226,7143,693,938,5198,4097,2032,2,17,35,42,649,1742,2420,2851,2607,1480,372,48
201,Barwon-South Western,Vic,2023,4641,1572,3069,84,648,403,94,1953,1483,1111,0,2,14,18,192,477,858,1134,1141,637,156,12
202,Eastern Metro,Vic,2023,20199,6945,13250,169,10898,1421,1380,8748,5887,4184,2,11,21,39,732,2397,3856,4926,4945,2597,608,65
203,Gippsland,Vic,2023,4611,1622,2988,120,539,559,350,1990,1422,849,0,7,20,42,243,608,1002,1130,960,482,111,6
204,Grampians,Vic,2023,1571,597,974,23,169,127,41,738,487,305,0,1,1,10,75,220,297,378,322,211,48,8
205,Hume,Vic,2023,3736,1337,2399,333,753,259,263,1962,931,580,0,16,60,54,188,512,743,858,759,431,110,5
206,Loddon-Mallee,Vic,2023,2536,905,1631,51,277,144,142,1224,701,469,1,2,9,13,103,304,529,605,594,298,74,4
207,Northern Metro,Vic,2023,7495,2433,5062,65,5080,273,288,3155,2332,1720,3,2,10,18,349,977,1450,1774,1785,923,184,20
208,Southern Metro,Vic,2023,14732,5011,9720,80,6120,1502,514,6190,4704,3324,1,5,12,29,472,1578,2709,3433,3637,2155,622,79
209,Western Metro,Vic,2023,7041,2398,4642,98,4874,277,141,2846,2408,1646,3,6,24,41,340,967,1398,1708,1514,813,207,20
301,Brisbane North,Qld,2023,14237,5023,9214,221,3694,1596,687,5463,4908,3179,2,17,26,59,724,1812,2741,3287,3063,1916,522,68
302,Brisbane South,Qld,2023,7389,2590,4799,180,2240,814,298,2616,2842,1633,4,10,25,36,362,990,1442,1755,1532,938,252,43
303,Cabool,Qld,2023,5335,1947,3387,309,966,749,219,1919,1957,1240,2,13,42,42,281,755,1068,1227,1094,618,175,18
304,Central West,Qld,2023,37,14,23,2,0,1,1,20,9,7,0,0,0,0,2,5,6,14,3,4,3,0
305,Darling Downs,Qld,2023,2749,938,1811,67,185,183,185,1180,874,510,1,2,4,14,117,300,505,617,702,392,88,7
306,Far North,Qld,2023,2109,784,1325,223,262,234,51,1126,643,289,1,4,16,23,133,322,437,460,405,241,65,2
307,Fitzroy,Qld,2023,2095,753,1341,93,78,133,48,801,957,289,1,2,7,21,108,291,412,506,427,259,50,11
308,Logan River Valley,Qld,2023,1615,529,1085,55,375,232,58,638,563,356,0,2,14,12,87,235,312,363,359,187,41,3
309,Mackay,Qld,2023,405,133,272,9,26,31,13,223,123,46,0,0,0,1,25,48,78,90,100,45,15,3
310,North West,Qld,2023,68,25,43,33,0,2,0,33,21,14,0,1,2,1,15,13,14,8,8,4,1,1
311,Northern,Qld,2023,3238,1179,2059,167,293,295,91,1218,1199,730,0,5,16,29,173,440,665,774,679,362,86,9
312,South Coast,Qld,2023,3662,1289,2373,86,541,581,193,1449,1216,804,1,4,2,19,153,447,757,878,775,466,146,14
313,South West,Qld,2023,256,98,158,34,4,10,24,125,71,36,0,1,0,2,11,30,45,63,62,35,5,2
314,Sunshine Coast,Qld,2023,6765,2524,4239,107,542,990,180,2368,2404,1813,2,9,12,24,304,807,1330,1645,1563,847,190,32
315,West Moreton,Qld,2023,1122,426,696,42,102,139,108,477,366,171,0,3,7,7,76,166,260,241,189,132,34,7
316,Wide Bay,Qld,2023,2661,960,1700,90,179,278,231,1183,875,372,0,3,8,14,143,355,551,604,582,310,82,9
401,Eyre Peninsula,SA,2023,1513,536,977,17,569,129,125,795,413,180,0,1,0,11,81,172,284,390,350,171,49,4
402,"Hills, Mallee & Southern",SA,2023,1525,527,998,24,301,195,49,630,553,293,0,2,3,4,37,143,282,366,394,233,54,7
403,Metropolitan East,SA,2023,8351,2847,5503,77,2426,1124,322,2886,3385,1758,0,2,11,29,323,895,1522,2009,1978,1174,364,44
404,Metropolitan North,SA,2023,2108,713,1395,24,513,457,97,788,862,361,0,3,5,5,109,292,410,524,460,250,44,6
405,Metropolitan South,SA,2023,3764,1309,2454,19,647,614,47,942,1626,1149,0,5,3,7,157,411,656,884,864,566,194,17
406,Metropolitan West,SA,2023,2802,921,1880,376,1205,200,55,901,1244,602,0,18,47,75,162,291,446,642,666,359,92,4
407,Mid North,SA,2023,304,104,200,10,26,36,26,138,100,40,0,0,2,1,17,43,75,73,50,36,5,2
408,Riverland,SA,2023,664,224,440,16,91,46,12,266,255,131,0,0,2,5,27,87,118,158,155,77,32,3
409,South East,SA,2023,624,215,409,12,42,65,43,313,204,64,0,0,1,5,35,61,107,144,138,113,19,1
410,Flinders & Far North,SA,2023,303,111,192,10,21,47,21,131,122,29,0,0,1,1,10,42,63,79,76,22,5,4
411,"Yorke, Lower North & Barossa",SA,2023,931,350,581,36,71,108,20,477,328,106,0,1,3,9,48,118,172,218,214,109,36,3
501,Goldfields,WA,2023,135,57,78,12,5,14,1,35,52,47,0,1,0,3,4,23,27,25,24,27,1,0
502,Great Southern,WA,2023,439,175,264,9,43,102,0,78,166,195,0,0,0,1,19,49,62,93,94,91,26,4
503,Kimberley,WA,2023,153,53,100,125,1,7,0,84,46,23,0,2,7,22,30,26,28,17,11,7,3,0
504,Metropolitan East,WA,2023,3162,1105,2057,63,1250,516,44,751,1149,1218,2,6,14,20,130,292,575,711,740,511,140,21
505,Metropolitan North,WA,2023,5701,2063,3637,55,1412,1131,131,1538,2101,1931,0,6,15,23,223,612,999,1289,1369,872,256,37
506,Metropolitan South East,WA,2023,6609,2391,4217,77,2068,1215,206,2031,2221,2151,1,6,14,21,296,774,1222,1589,1517,907,247,15
507,Metropolitan South West,WA,2023,3496,1220,2276,42,740,831,25,857,1299,1315,0,4,3,15,121,314,544,849,894,590,140,22
508,Mid West,WA,2023,200,78,122,21,16,33,1,38,74,87,0,0,3,5,11,21,38,53,34,26,7,2
509,Pilbara,WA,2023,48,18,30,29,1,2,0,5,27,16,0,0,5,6,8,9,7,7,5,1,0,0
510,South West,WA,2023,1088,408,680,26,89,221,4,176,396,512,3,1,7,12,49,120,198,233,241,169,50,5
511,Wheatbelt,WA,2023,796,304,492,54,63,139,5,137,329,325,1,0,12,19,52,121,188,183,132,70,18,0
601,North Western,Tas,2023,1022,358,664,44,65,122,62,421,363,176,0,0,1,3,58,130,201,252,236,104,35,2
602,Northern,Tas,2023,2230,791,1439,46,351,228,90,815,878,447,1,0,1,10,111,319,423,528,486,279,68,4
603,Southern,Tas,2023,2863,972,1891,152,298,316,93,1081,1152,537,0,4,7,21,154,382,551,649,641,363,85,6
701,Alice Springs,NT,2023,215,63,152,109,13,14,0,90,80,45,0,6,14,18,26,32,36,36,27,15,5,0
702,Barkly,NT,2023,5,2,3,4,1,0,0,3,1,1,0,0,1,0,2,0,1,1,0,0,0,0
703,Darwin,NT,2023,640,261,379,126,164,73,0,179,240,221,1,4,12,23,47,124,135,129,104,49,12,0
704,East Arnhem,NT,2023,148,68,80,138,2,0,0,78,44,26,0,8,20,26,37,25,16,12,2,2,0,0
705,Katherine,NT,2023,66,27,39,37,3,4,0,28,26,12,0,0,1,4,9,16,15,10,6,5,0,0
801,ACT,ACT,2023,2396,759,1637,37,619,271,41,816,792,747,0,5,4,6,66,230,431,581,605,357,95,16
101.0,Central Coast,NSW,2019,2983,0,0,0,0,0,466,1181,702,634,0,0,0,0,0,0,0,0,0,0,0,11
102.0,Central West,NSW,2019,652,0,0,0,0,0,72,278,123,179,0,0,0,0,0,0,0,0,0,0,0,2
103.0,Far North Coast,NSW,2019,1837,0,0,0,0,0,254,873,282,428,0,0,0,0,0,0,0,0,0,0,0,12
104.0,Hunter,NSW,2019,3922,0,0,0,0,0,318,1524,831,1249,0,0,0,0,0,0,0,0,0,0,0,19
105.0,Illawarra,NSW,2019,4416,0,0,0,0,0,496,2053,899,968,0,0,0,0,0,0,0,0,0,0,0,17
106.0,Inner West,NSW,2019,2495,0,0,0,0,0,245,1207,406,637,0,0,0,0,0,0,0,0,0,0,0,12
107.0,Mid North Coast,NSW,2019,2618,0,0,0,0,0,291,1074,542,711,0,0,0,0,0,0,0,0,0,0,0,10
108.0,Nepean,NSW,2019,955,0,0,0,0,0,70,506,170,209,0,0,0,0,0,0,0,0,0,0,0,7
109.0,New England,NSW,2019,736,0,0,0,0,0,38,366,139,193,0,0,0,0,0,0,0,0,0,0,0,4
110.0,Northern Sydney,NSW,2019,3073,0,0,0,0,0,184,1416,645,828,0,0,0,0,0,0,0,0,0,0,0,17
111.0,Orana Far West,NSW,2019,566,0,0,0,0,0,95,270,91,110,0,0,0,0,0,0,0,0,0,0,0,2
112.0,Riverina/Murray,NSW,2019,1670,0,0,0,0,0,245,806,289,330,0,0,0,0,0,0,0,0,0,0,0,8
113.0,South East Sydney,NSW,2019,3178,0,0,0,0,0,335,1399,626,818,0,0,0,0,0,0,0,0,0,0,0,18
114.0,South West Sydney,NSW,2019,1949,0,0,0,0,0,229,898,343,479,0,0,0,0,0,0,0,0,0,0,0,10
115.0,Southern Highlands,NSW,2019,1011,0,0,0,0,0,69,478,164,300,0,0,0,0,0,0,0,0,0,0,0,7
116.0,Western Sydney,NSW,2019,3802,0,0,0,0,0,286,1649,737,1130,0,0,0,0,0,0,0,0,0,0,0,23
201.0,Barwon-South Western,VIC,2019,2143,0,0,0,0,0,148,1150,296,549,0,0,0,0,0,0,0,0,0,0,0,6
202.0,Eastern Metro,VIC,2019,4633,0,0,0,0,0,324,2665,644,1000,0,0,0,0,0,0,0,0,0,0,0,21
203.0,Gippsland,VIC,2019,1788,0,0,0,0,0,225,839,276,448,0,0,0,0,0,0,0,0,0,0,0,4
204.0,Grampians,VIC,2019,927,0,0,0,0,0,68,568,127,164,0,0,0,0,0,0,0,0,0,0,0,1
205.0,Hume,VIC,2019,2424,0,0,0,0,0,150,1364,425,485,0,0,0,0,0,0,0,0,0,0,0,10
206.0,Loddon-Mallee,VIC,2019,1224,0,0,0,0,0,77,661,168,318,0,0,0,0,0,0,0,0,0,0,0,6
207.0,Northern Metro,VIC,2019,3184,0,0,0,0,0,204,1519,536,925,0,0,0,0,0,0,0,0,0,0,0,6
208.0,Southern Metro,VIC,2019,8131,0,0,0,0,0,609,4150,1331,2041,0,0,0,0,0,0,0,0,0,0,0,32
209.0,Western Metro,VIC,2019,3322,0,0,0,0,0,145,1854,441,882,0,0,0,0,0,0,0,0,0,0,0,12
301.0,Brisbane North,QLD,2019,3416,0,0,0,0,0,225,1371,761,1059,0,0,0,0,0,0,0,0,0,0,0,19
302.0,Brisbane South,QLD,2019,3070,0,0,0,0,0,221,1114,695,1040,0,0,0,0,0,0,0,0,0,0,0,15
303.0,Cabool,QLD,2019,1825,0,0,0,0,0,141,745,366,573,0,0,0,0,0,0,0,0,0,0,0,6
304.0,Central West,QLD,2019,20,0,0,0,0,0,1,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0
305.0,Darling Downs,QLD,2019,1841,0,0,0,0,0,213,679,358,591,0,0,0,0,0,0,0,0,0,0,0,4
306.0,Far North,QLD,2019,863,0,0,0,0,0,39,416,149,259,0,0,0,0,0,0,0,0,0,0,0,1
307.0,Fitzroy,QLD,2019,1163,0,0,0,0,0,10,499,351,303,0,0,0,0,0,0,0,0,0,0,0,2
308.0,Logan River Valley,QLD,2019,1046,0,0,0,0,0,92,377,235,342,0,0,0,0,0,0,0,0,0,0,0,2
309.0,Mackay,QLD,2019,328,0,0,0,0,0,23,167,47,91,0,0,0,0,0,0,0,0,0,0,0,2
310.0,North West,QLD,2019,79,0,0,0,0,0,7,40,15,17,0,0,0,0,0,0,0,0,0,0,0,0
311.0,Northern,QLD,2019,1076,0,0,0,0,0,39,408,180,449,0,0,0,0,0,0,0,0,0,0,0,8
312.0,South Coast,QLD,2019,2312,0,0,0,0,0,226,914,473,699,0,0,0,0,0,0,0,0,0,0,0,12
313.0,South West,QLD,2019,114,0,0,0,0,0,13,57,13,31,0,0,0,0,0,0,0,0,0,0,0,0
314.0,Sunshine Coast,QLD,2019,2704,0,0,0,0,0,224,1179,465,836,0,0,0,0,0,0,0,0,0,0,0,12
315.0,West Moreton,QLD,2019,562,0,0,0,0,0,74,232,98,158,0,0,0,0,0,0,0,0,0,0,0,2
316.0,Wide Bay,QLD,2019,1143,0,0,0,0,0,116,473,235,319,0,0,0,0,0,0,0,0,0,0,0,6
401.0,Eyre Peninsula,SA,2019,238,0,0,0,0,0,17,115,44,62,0,0,0,0,0,0,0,0,0,0,0,4
402.0,"Hills, Mallee & Southern",SA,2019,839,0,0,0,0,0,80,387,167,205,0,0,0,0,0,0,0,0,0,0,0,2
403.0,Metropolitan East,SA,2019,2034,0,0,0,0,0,161,719,526,628,0,0,0,0,0,0,0,0,0,0,0,9
404.0,Metropolitan North,SA,2019,845,0,0,0,0,0,56,290,240,259,0,0,0,0,0,0,0,0,0,0,0,3
405.0,Metropolitan South,SA,2019,1557,0,0,0,0,0,66,610,377,504,0,0,0,0,0,0,0,0,0,0,0,9
406.0,Metropolitan West,SA,2019,1059,0,0,0,0,0,51,375,293,340,0,0,0,0,0,0,0,0,0,0,0,6
407.0,Mid North,SA,2019,147,0,0,0,0,0,8,58,33,48,0,0,0,0,0,0,0,0,0,0,0,0
408.0,Riverland,SA,2019,244,0,0,0,0,0,15,116,42,71,0,0,0,0,0,0,0,0,0,0,0,2
409.0,South East,SA,2019,319,0,0,0,0,0,33,170,51,65,0,0,0,0,0,0,0,0,0,0,0,2
410.0,Flinders & Far North,SA,2019,129,0,0,0,0,0,12,49,25,43,0,0,0,0,0,0,0,0,0,0,0,1
411.0,"Yorke, Lower North & Barossa",SA,2019,347,0,0,0,0,0,21,171,68,87,0,0,0,0,0,0,0,0,0,0,0,0
501.0,Goldfields,WA,2019,68,0,0,0,0,0,6,19,18,25,0,0,0,0,0,0,0,0,0,0,0,0
502.0,Great Southern,WA,2019,246,0,0,0,0,0,2,55,50,139,0,0,0,0,0,0,0,0,0,0,0,3
503.0,Kimberley,WA,2019,115,0,0,0,0,0,6,46,29,34,0,0,0,0,0,0,0,0,0,0,0,1
504.0,Metropolitan East,WA,2019,1679,0,0,0,0,0,82,606,312,679,0,0,0,0,0,0,0,0,0,0,0,11
505.0,Metropolitan North,WA,2019,1764,0,0,0,0,0,108,612,382,662,0,0,0,0,0,0,0,0,0,0,0,17
506.0,Metropolitan South East,WA,2019,2289,0,0,0,0,0,85,763,441,1000,0,0,0,0,0,0,0,0,0,0,0,14
507.0,Metropolitan South West,WA,2019,1606,0,0,0,0,0,88,496,375,647,0,0,0,0,0,0,0,0,0,0,0,6
508.0,Mid West,WA,2019,168,0,0,0,0,0,5,64,24,75,0,0,0,0,0,0,0,0,0,0,0,1
509.0,Pilbara,WA,2019,45,0,0,0,0,0,0,20,6,19,0,0,0,0,0,0,0,0,0,0,0,0
510.0,South West,WA,2019,646,0,0,0,0,0,42,167,144,293,0,0,0,0,0,0,0,0,0,0,0,3
511.0,Wheatbelt,WA,2019,373,0,0,0,0,0,29,89,90,165,0,0,0,0,0,0,0,0,0,0,0,1
601.0,North Western,TAS,2019,435,0,0,0,0,0,36,211,68,120,0,0,0,0,0,0,0,0,0,0,0,0
602.0,Northern,TAS,2019,854,0,0,0,0,0,57,448,141,208,0,0,0,0,0,0,0,0,0,0,0,2
603.0,Southern,TAS,2019,1337,0,0,0,0,0,75,647,229,386,0,0,0,0,0,0,0,0,0,0,0,3
701.0,Alice Springs,NT,2019,203,0,0,0,0,0,5,149,16,33,0,0,0,0,0,0,0,0,0,0,0,1
702.0,Barkly,NT,2019,33,0,0,0,0,0,0,25,2,6,0,0,0,0,0,0,0,0,0,0,0,0
703.0,Darwin,NT,2019,279,0,0,0,0,0,0,116,43,120,0,0,0,0,0,0,0,0,0,0,0,0
704.0,East Arnhem,NT,2019,89,0,0,0,0,0,1,65,8,15,0,0,0,0,0,0,0,0,0,0,0,0
705.0,Katherine,NT,2019,55,0,0,0,0,0,0,42,6,7,0,0,0,0,0,0,0,0,0,0,0,0
801.0,ACT,ACT,2019,1464,0,0,0,0,0,62,603,268,531,0,0,0,0,0,0,0,0,0,0,0,6
