YEAR,ACPR_CODE_2018,ACPR_NAME_2018,CARE_TYPE,INDIGENOUS_STATUS,count
2024,306,Far North,Short-term restorative care,Unknown,43
2024,306,Far North,Transition care,Indigenous,11
2024,306,Far North,Transition care,Non-Indigenous,94
2024,306,Far North,Transition care,Unknown,50
2024,307,Fitzroy,Home care,Indigenous,41
2024,307,Fitzroy,Home care,Non-Indigenous,416
2024,307,Fitzroy,Home care,Unknown,127
2024,307,Fitzroy,Permanent residential care,Indigenous,17
2024,307,Fitzroy,Permanent residential care,Non-Indigenous,480
2024,307,Fitzroy,Permanent residential care,Unknown,63
2024,307,Fitzroy,Respite residential care,Indigenous,6
2024,307,Fitzroy,Respite residential care,Non-Indigenous,243
2024,307,Fitzroy,Respite residential care,Unknown,20
2024,307,Fitzroy,Short-term restorative care,Indigenous,2
2024,307,Fitzroy,Short-term restorative care,Non-Indigenous,67
2024,307,Fitzroy,Short-term restorative care,Unknown,33
2024,307,Fitzroy,Transition care,Indigenous,2
2024,307,Fitzroy,Transition care,Non-Indigenous,78
2024,307,Fitzroy,Transition care,Unknown,24
2024,308,Logan River Valley,Home care,Indigenous,19
2024,308,Logan River Valley,Home care,Non-Indigenous,426
2024,308,Logan River Valley,Home care,Unknown,42
2024,308,Logan River Valley,Permanent residential care,Indigenous,16
2024,308,Logan River Valley,Permanent residential care,Non-Indigenous,681
2024,308,Logan River Valley,Permanent residential care,Unknown,166
2024,308,Logan River Valley,Respite residential care,Indigenous,12
2024,308,Logan River Valley,Respite residential care,Non-Indigenous,734
2024,308,Logan River Valley,Respite residential care,Unknown,150
2024,309,Mackay,Home care,Indigenous,2
2024,309,Mackay,Home care,Non-Indigenous,81
2024,309,Mackay,Home care,Unknown,8
2024,309,Mackay,Permanent residential care,Indigenous,10
2024,309,Mackay,Permanent residential care,Non-Indigenous,274
2024,309,Mackay,Permanent residential care,Unknown,73
2024,309,Mackay,Respite residential care,Indigenous,3
2024,309,Mackay,Respite residential care,Non-Indigenous,203
2024,309,Mackay,Respite residential care,Unknown,31
2024,309,Mackay,Short-term restorative care,Indigenous,1
2024,309,Mackay,Short-term restorative care,Non-Indigenous,17
2024,309,Mackay,Short-term restorative care,Unknown,7
2024,309,Mackay,Transition care,Indigenous,2
2024,309,Mackay,Transition care,Non-Indigenous,57
2024,309,Mackay,Transition care,Unknown,38
2024,310,North West,Home care,Indigenous,10
2024,310,North West,Home care,Non-Indigenous,1
2024,310,North West,Home care,Unknown,1
2024,310,North West,Permanent residential care,Indigenous,1
2024,310,North West,Permanent residential care,Non-Indigenous,2
2024,310,North West,Permanent residential care,Unknown,1
2024,310,North West,Respite residential care,Indigenous,2
2024,310,North West,Respite residential care,Non-Indigenous,5
2024,310,North West,Respite residential care,Unknown,1
2024,311,Northern,Home care,Indigenous,188
2024,311,Northern,Home care,Non-Indigenous,3406
2024,311,Northern,Home care,Unknown,378
2024,311,Northern,Permanent residential care,Indigenous,34
2024,311,Northern,Permanent residential care,Non-Indigenous,616
2024,311,Northern,Permanent residential care,Unknown,109
2024,311,Northern,Respite residential care,Indigenous,15
2024,311,Northern,Respite residential care,Non-Indigenous,362
2024,311,Northern,Respite residential care,Unknown,52
2024,311,Northern,Short-term restorative care,Non-Indigenous,10
2024,311,Northern,Short-term restorative care,Unknown,3
2024,311,Northern,Transition care,Indigenous,5
2024,311,Northern,Transition care,Non-Indigenous,84
2024,311,Northern,Transition care,Unknown,33
2024,312,South Coast,Home care,Indigenous,31
2024,312,South Coast,Home care,Non-Indigenous,921
2024,312,South Coast,Home care,Unknown,107
2024,312,South Coast,Permanent residential care,Indigenous,8
2024,312,South Coast,Permanent residential care,Non-Indigenous,1408
2024,312,South Coast,Permanent residential care,Unknown,355
2024,312,South Coast,Respite residential care,Indigenous,3
2024,312,South Coast,Respite residential care,Non-Indigenous,1446
2024,312,South Coast,Respite residential care,Unknown,298
2024,312,South Coast,Short-term restorative care,Indigenous,17
2024,312,South Coast,Short-term restorative care,Non-Indigenous,593
2024,312,South Coast,Short-term restorative care,Unknown,195
2024,312,South Coast,Transition care,Indigenous,2
2024,312,South Coast,Transition care,Non-Indigenous,229
